term	term_id	odds_ratio	overlap	p.value	adj.p.value	log10pvalue	genes
Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582	R-HSA-2559582	5.88117848807372	6/111	0.000870967725557914	0.0175117298759902	1.75667095051914	NFKB1;STAT3;CEBPB;JUN;FOS;RELA
Signal Transduction R-HSA-162582	R-HSA-162582	2.38391659937075	47/2605	9.63101043359991e-06	0.000386758846791066	3.41255974338529	STAT1;MEF2C;TCF4;RUNX1;CREB1;SMAD4;JUN;JUND;ETV4;MYC;FOSB;SP1;RARG;SRF;TFDP1;RELA;TBP;CTBP2;MEF2D;POU2F1;ATF2;ESR2;EGR1;IKZF1;FOS;NFKB1;STAT3;TCF7L2;RARA;GLI1;MEF2A;NFATC1;CTNNB1;SKIL;USF1;MYB;DNMT1;TP53;E2F1;HIF1A;SMAD3;ELF3;NR1H3;STAT5A;ESR1;NCOR2;ASCL1
Signaling by ALK R-HSA-201556	R-HSA-201556	15.6453386327788	4/30	0.000217296474930707	0.0056539690633931	2.24764657215255	STAT3;MYC;HIF1A;DNMT1
Signaling by ALK fusions and activated point mutants R-HSA-9725370	R-HSA-9725370	12.9018143039739	10/93	2.84514083531135e-08	1.88775094422908e-06	5.72405530383129	STAT5A;STAT1;RB1;STAT3;IRF4;BCL11A;CEBPB;DNMT1;JUN;TP53
Signaling by ALK in cancer R-HSA-9700206	R-HSA-9700206	12.9018143039739	10/93	2.84514083531135e-08	1.88775094422908e-06	5.72405530383129	STAT5A;STAT1;RB1;STAT3;IRF4;BCL11A;CEBPB;DNMT1;JUN;TP53
Signaling by FGFR1 in disease R-HSA-5655302	R-HSA-5655302	11.9573181350602	4/38	0.000550169250762075	0.012067348690269	1.91838813799452	CUX1;STAT5A;STAT3;STAT1
Signaling by Interleukins R-HSA-449147	R-HSA-449147	5.38741929750024	21/473	7.95913509858255e-09	7.0411815172127e-07	6.15235445969996	STAT1;MEF2C;CEBPD;STAT2;FOS;CREB1;TP53;NFKB1;HIF1A;SMAD3;STAT3;NFKBIB;JUN;POU2F1;ATF2;STAT5A;IRF4;MYC;MEF2A;NFKB2;RELA
Signaling by KIT in disease R-HSA-9669938	R-HSA-9669938	17.7931315036488	3/20	0.00099696234587539	0.0187655181982502	1.72663943831014	STAT5A;STAT3;STAT1
Signaling by NOTCH R-HSA-157118	R-HSA-157118	6.07299224584667	13/246	1.06546332338943e-06	5.3353578495765e-05	4.2728364465517	STAT1;HIF1A;SMAD3;TFDP1;ELF3;MYC;IKZF1;JUN;RUNX1;CREB1;NCOR2;TP53;E2F1
Signaling by NTRK1 (TRKA) R-HSA-187037	R-HSA-187037	12.7009429892738	12/115	1.53529726058829e-09	2.03733946480066e-07	6.69093660212074	JUND;SRF;MEF2C;STAT3;EGR1;FOSB;FOS;MEF2D;CREB1;ATF2;MEF2A;ASCL1
Signaling by NTRKs R-HSA-166520	R-HSA-166520	10.7043690543376	12/134	8.94770195633969e-09	7.66038741681469e-07	6.11574926578122	JUND;SRF;MEF2C;STAT3;EGR1;FOSB;FOS;MEF2D;CREB1;ATF2;MEF2A;ASCL1
Signaling by Nuclear Receptors R-HSA-9006931	R-HSA-9006931	8.44669178477482	20/296	1.193123032547e-11	6.33309705675947e-09	8.19838385621837	JUND;RARG;SRF;ESR2;USF1;MYC;FOSB;MYB;SP1;JUN;FOS;RUNX1;ESR1;CREB1;RARA;NCOR2;NR1H3;POU2F1;ATF2;TBP
Signaling by Receptor Tyrosine Kinases R-HSA-9006934	R-HSA-9006934	4.17911185307698	19/532	1.30114144708536e-06	6.16648107243669e-05	4.20996259719712	STAT1;MEF2C;EGR1;DNMT1;FOS;MEF2D;CREB1;HIF1A;STAT3;ATF2;STAT5A;JUND;MYC;FOSB;ESR1;MEF2A;SRF;CTNNB1;ASCL1
Signaling by TCF7L2 mutants R-HSA-5339700	R-HSA-5339700	199.04825427391	2/3	0.000298840698797677	0.00711536872804307	2.14780258926837	TCF7L2;CTBP2
Signaling by TGF-beta Receptor Complex R-HSA-170834	R-HSA-170834	9.7721947038949	8/94	4.42798314756754e-06	0.000189546246349101	3.72228481163857	STAT1;SMAD3;TFDP1;SMAD4;MYC;SKIL;SP1;NCOR2
Signaling by TGF-beta Receptor Complex in Cancer R-HSA-3304351	R-HSA-3304351	33.3145057433624	2/8	0.00269871563445044	0.0428885706217453	1.36765842756444	SMAD4;SMAD3
Signaling by TGFB family members R-HSA-9006936	R-HSA-9006936	7.22628249014594	8/124	3.41198336060183e-05	0.00114625365051105	2.94071926820805	STAT1;SMAD3;TFDP1;SMAD4;MYC;SKIL;SP1;NCOR2
Signaling by cytosolic FGFR1 fusion mutants R-HSA-1839117	R-HSA-1839117	29.0473158892438	4/18	2.66293333847266e-05	0.000942323344040859	3.02580005003374	STAT3;STAT1;CUX1;STAT5A
Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants R-HSA-9670439	R-HSA-9670439	17.7931315036488	3/20	0.00099696234587539	0.0187655181982502	1.72663943831014	STAT5A;STAT3;STAT1
Specification of the neural plate border R-HSA-9834899	R-HSA-9834899	42.7108898390652	5/17	5.29189876130748e-07	2.92597902343959e-05	4.53372879168887	DLX5;CTNNB1;MYB;TFAP2A;PAX3
Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1) R-HSA-381771	R-HSA-381771	16.8044877148694	3/21	0.00115464195946314	0.0212806927806609	1.67201423794086	CDX2;CTNNB1;TCF7L2
TAK1-dependent IKK and NF-kappa-B activation   R-HSA-445989	R-HSA-445989	13.1440809974697	5/44	7.48034411594634e-05	0.00225600378224109	2.64666017658362	NFKB1;NFKB2;NFKBIB;RELA;TP53
TFAP2 (AP-2) family regulates transcription of cell cycle factors R-HSA-8866911	R-HSA-8866911	66.4223414319007	2/5	0.00098306926117563	0.0187655181982502	1.72663943831014	MYC;TFAP2A
TRAF6 mediated NF-kB activation R-HSA-933542	R-HSA-933542	19.3640386994807	4/25	0.00010426478335084	0.00297547026895838	2.5264443848688	NFKB1;NFKB2;NFKBIB;RELA
TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation R-HSA-975138	R-HSA-975138	13.2123427459225	11/101	4.84609428591671e-09	4.59340508386534e-07	6.33786525326923	NFKB1;MEF2C;NFKBIB;JUN;FOS;CREB1;TP53;ATF2;MEF2A;NFKB2;RELA
TRIF (TICAM1)-mediated TLR4 signaling  R-HSA-937061	R-HSA-937061	13.4961920612922	12/109	8.20349485109636e-10	1.20955974082276e-07	6.91737267672836	NFKB1;MEF2C;IRF7;NFKBIB;JUN;FOS;CREB1;TP53;ATF2;MEF2A;NFKB2;RELA
The NLRP3 inflammasome R-HSA-844456	R-HSA-844456	23.2818504564051	3/16	0.000504299816526884	0.0111534309421863	1.95259151736399	RELA;NFKB1;NFKB2
Toll Like Receptor 10 (TLR10) Cascade R-HSA-168142	R-HSA-168142	13.9934221154782	11/96	2.80392830028382e-09	2.91174037325476e-07	6.53584735171119	NFKB1;MEF2C;NFKBIB;JUN;FOS;CREB1;TP53;ATF2;MEF2A;NFKB2;RELA
Toll Like Receptor 2 (TLR2) Cascade R-HSA-181438	R-HSA-181438	11.4189300138777	11/115	1.92925111475607e-08	1.38384661042233e-06	5.85891204567333	NFKB1;MEF2C;NFKBIB;JUN;FOS;CREB1;TP53;ATF2;MEF2A;NFKB2;RELA
Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164	R-HSA-168164	14.0799887381911	12/105	5.28306145398272e-10	9.95725256117246e-08	7.00186047705046	NFKB1;MEF2C;IRF7;NFKBIB;JUN;FOS;CREB1;TP53;ATF2;MEF2A;NFKB2;RELA
Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016	R-HSA-166016	9.81089960716532	12/145	2.18802892639261e-08	1.52816546595947e-06	5.81582961888694	NFKB1;MEF2C;IRF7;NFKBIB;JUN;FOS;CREB1;TP53;ATF2;MEF2A;NFKB2;RELA
Toll Like Receptor 5 (TLR5) Cascade R-HSA-168176	R-HSA-168176	13.9934221154782	11/96	2.80392830028382e-09	2.91174037325476e-07	6.53584735171119	NFKB1;MEF2C;NFKBIB;JUN;FOS;CREB1;TP53;ATF2;MEF2A;NFKB2;RELA
Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181	R-HSA-168181	14.3911220368541	12/103	4.20919774277295e-10	9.30934234109951e-08	7.03108099868783	NFKB1;MEF2C;IRF7;NFKBIB;JUN;FOS;CREB1;TP53;ATF2;MEF2A;NFKB2;RELA
Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138	R-HSA-168138	13.9293879979934	12/106	5.90786773470797e-10	9.95725256117246e-08	7.00186047705046	NFKB1;MEF2C;IRF7;NFKBIB;JUN;FOS;CREB1;TP53;ATF2;MEF2A;NFKB2;RELA
Toll Like Receptor TLR1:TLR2 Cascade R-HSA-168179	R-HSA-168179	11.4189300138777	11/115	1.92925111475607e-08	1.38384661042233e-06	5.85891204567333	NFKB1;MEF2C;NFKBIB;JUN;FOS;CREB1;TP53;ATF2;MEF2A;NFKB2;RELA
Toll Like Receptor TLR6:TLR2 Cascade R-HSA-168188	R-HSA-168188	11.7602532575799	11/112	1.45914623195932e-08	1.10644974274858e-06	5.95606830784848	NFKB1;MEF2C;NFKBIB;JUN;FOS;CREB1;TP53;ATF2;MEF2A;NFKB2;RELA
Toll-like Receptor Cascades R-HSA-168898	R-HSA-168898	8.40178846808847	12/167	1.05587902840869e-07	6.36887032135605e-06	5.19593759383578	NFKB1;MEF2C;IRF7;NFKBIB;JUN;FOS;CREB1;TP53;ATF2;MEF2A;NFKB2;RELA
Transcription of E2F targets under negative control by DREAM complex R-HSA-1362277	R-HSA-1362277	18.905243073146	3/19	0.000853644995155175	0.0172944566194033	1.76209307868587	TFDP1;E2F1;MYC
Transcriptional Regulation by VENTX R-HSA-8853884	R-HSA-8853884	17.7410393567207	6/41	3.05783809391139e-06	0.000133041021331817	3.87601442977569	CTNNB1;TCF7L2;NFKB1;RELA;CEBPB;TP53
Transcriptional activation of mitochondrial biogenesis R-HSA-2151201	R-HSA-2151201	12.6603438476643	6/55	1.75848512754131e-05	0.000657326694154174	3.18221873058521	ATF2;PPARA;HCFC1;MEF2C;MEF2D;CREB1
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer R-HSA-2173793	R-HSA-2173793	19.6060956042241	8/51	3.6242665904378e-08	2.34604964171266e-06	5.62966280258119	TFDP1;NCOR2;SMAD4;STAT1;MYC;SKIL;SP1;SMAD3
Transcriptional regulation by RUNX1 R-HSA-8878171	R-HSA-8878171	5.19744322778214	11/237	2.55607626211346e-05	0.000916733297249881	3.03775699407889	ELF1;TP73;LMO2;SPI1;TCF3;MYB;RUNX1;RUNX2;ESR1;GATA1;TAL1
Transcriptional regulation by RUNX2 R-HSA-8878166	R-HSA-8878166	8.65786016087377	9/119	2.93574239253208e-06	0.000132058649318307	3.87923314895764	STAT1;DLX5;RB1;SMAD4;SP7;RUNX1;RUNX2;ESR1;TWIST2
Transcriptional regulation by RUNX3 R-HSA-8878159	R-HSA-8878159	8.18180907944391	7/96	4.92639527336554e-05	0.00159446988481855	2.79738367898022	SMAD3;SMAD4;CTNNB1;MYC;TCF7L2;RUNX1;TP53
Transcriptional regulation of granulopoiesis R-HSA-9616222	R-HSA-9616222	17.023257302137	12/89	7.34579755045324e-11	2.78510667127184e-08	7.55515816643009	TFDP1;STAT3;SPI1;MYC;MYB;CEBPB;RUNX1;CREB1;RARA;FLI1;E2F1;TAL1
Transcriptional regulation of pluripotent stem cells R-HSA-452723	R-HSA-452723	15.0661728213523	4/31	0.000247564570570001	0.00619845632351682	2.20771645463912	CDX2;SMAD4;STAT3;GATA6
Transcriptional regulation of white adipocyte differentiation R-HSA-381340	R-HSA-381340	9.46674296860785	7/84	2.06691624142687e-05	0.000758870541730345	3.11983230553734	NR2F2;NFKB1;CEBPD;CEBPB;PPARA;NCOR2;RELA
Unfolded Protein Response (UPR) R-HSA-381119	R-HSA-381119	7.11018907172568	6/93	0.000339320048137576	0.0078996088399748	2.10239441286732	NFYB;CEBPG;CEBPB;ATF6;NFYC;ATF4
ZBP1(DAI) mediated induction of type I IFNs R-HSA-1606322	R-HSA-1606322	23.9230429413617	4/21	5.08846643488816e-05	0.00162708312267388	2.78859025972666	NFKB1;NFKB2;NFKBIB;RELA
