tf	module	database	p.value	adj_p.value	overlap	odds_ratio
TCFAP2A	MEmagenta	TRANSFAC_and_JASPAR_PWMs	1.51128059376584e-12	7.0382496223952e-11	65/831	3.05961023019108
NFE2	MEmagenta	TRANSFAC_and_JASPAR_PWMs	0.00270134739699345	0.0238010608491855	68/1590	1.50431338162054
PCBP1	MEmagenta	TRANSFAC_and_JASPAR_PWMs	9.05897238955092e-17	1.4766124994968e-14	72/811	3.61462787135272
HINFP	MEmagenta	TRANSFAC_and_JASPAR_PWMs	0.00165607703127194	0.0163600337028683	76/1786	1.51019901606044
ESR1	MEmagenta	TRANSFAC_and_JASPAR_PWMs	0.00173460032502421	0.0164535270394367	45/934	1.6799551476731
CRX	MEmagenta	TRANSFAC_and_JASPAR_PWMs	0.0033048488621274	0.0269345182263383	41/859	1.65309372781955
MTF1	MEmagenta	TRANSFAC_and_JASPAR_PWMs	0.00128890829596896	0.014006136816196	42/842	1.74051872182411
GLI2	MEmagenta	TRANSFAC_and_JASPAR_PWMs	2.67649623228846e-05	0.000459230406171599	48/847	2.03288863055406
MZF1	MEmagenta	TRANSFAC_and_JASPAR_PWMs	9.3800488407555e-06	0.000179876230710958	68/1312	1.89660493632143
SREBF1	MEmagenta	TRANSFAC_and_JASPAR_PWMs	0.00545420610522478	0.0395126931178506	65/1551	1.46240877116819
E2F1	MEmagenta	TRANSFAC_and_JASPAR_PWMs	0.00246338137074469	0.0223072868572991	101/2543	1.42581080536531
IKZF1	MEmagenta	TRANSFAC_and_JASPAR_PWMs	0.00154528001398657	0.0157425401424882	41/824	1.73312927365967
REPIN1	MEmagenta	TRANSFAC_and_JASPAR_PWMs	0.000981517151613877	0.0118509107935601	44/882	1.74575466261562
KLF11	MEmagenta	TRANSFAC_and_JASPAR_PWMs	4.58159484253633e-13	3.73399979666711e-11	62/749	3.2444365971587
E2F6	MEmagenta	TRANSFAC_and_JASPAR_PWMs	1.43730480703771e-05	0.000260311870607941	48/827	2.08930147054909
SP1	MEmagenta	TRANSFAC_and_JASPAR_PWMs	7.6042410453651e-16	8.26327526929674e-14	71/824	3.48032192540902
ZBTB7A	MEmagenta	TRANSFAC_and_JASPAR_PWMs	2.27296783848816e-06	4.63117197091963e-05	49/796	2.23904794059087
NFKB1	MEmagenta	TRANSFAC_and_JASPAR_PWMs	4.2246385673784e-09	1.14769347747113e-07	109/2099	2.06152268392521
MYC	MEbrown	COLLECTRI	5.98654500029778e-10	7.10004237035317e-07	159/637	1.9142882087278
SMAD3	MEred	COLLECTRI	4.19042217537946e-08	4.96984070000004e-05	34/128	3.46252479138693
JUN	MEred	COLLECTRI	1.35494887184104e-06	0.000803484681001737	76/454	1.98994422157025
RUNX2	MEred	COLLECTRI	0.000148457514361171	0.0176070612032349	20/84	2.91483326828025
HOXD3	MEred	COLLECTRI	6.06025247403067e-05	0.0102677991917148	6/9	18.3169808198337
SMAD2	MEred	COLLECTRI	0.000360139764890865	0.0388296146509605	17/70	2.97896570174805
TCF7L2	MEred	COLLECTRI	0.000148457514361171	0.0176070612032349	20/84	2.91483326828025
GLI1	MEred	COLLECTRI	2.68572150921329e-05	0.0079631642748174	27/119	2.7638607084943
CTNNB1	MEred	COLLECTRI	5.12953941393657e-06	0.00202787791497626	43/217	2.36984369048646
GLI2	MEred	COLLECTRI	3.58984280497854e-05	0.0085151071334091	23/95	2.99471618444376
TLE5	MEred	COLLECTRI	9.66722003714591e-05	0.0143316537050688	4/4	Inf
NFKB	MEred	COLLECTRI	5.32823105871118e-05	0.0102677991917148	81/542	1.72282528878499
SPI1	MEyellow	COLLECTRI	2.55541669694764e-14	3.0307242025799e-11	106/244	2.88087438663797
STAT5A	MEyellow	COLLECTRI	0.000266455028360474	0.00770769911306152	49/139	1.9465943091928
RELA	MEyellow	COLLECTRI	2.43716717961755e-13	9.63493425008805e-11	143/375	2.34446863516717
SP1	MEyellow	COLLECTRI	0.00033766313436381	0.0091015563035336	247/932	1.34398903763796
TP53	MEyellow	COLLECTRI	5.62086313771792e-05	0.00222211456044448	196/699	1.44837557373151
RUNX1	MEyellow	COLLECTRI	2.8443365841856e-05	0.00124940118105338	52/139	2.14559797905966
STAT1	MEyellow	COLLECTRI	3.35952862126237e-11	7.96880188963434e-09	90/215	2.66294776386255
STAT3	MEyellow	COLLECTRI	3.33611881984799e-05	0.00141308461440704	94/292	1.72534542856628
CREB1	MEyellow	COLLECTRI	0.000800808053980533	0.0183062506171307	93/312	1.53172249749998
NFATC2	MEyellow	COLLECTRI	0.000554350123243979	0.0142925923079861	25/60	2.53074669322018
CEBPB	MEyellow	COLLECTRI	6.20700101220821e-06	0.000320065356542562	99/300	1.79829257462321
FOS	MEyellow	COLLECTRI	9.39127795108637e-05	0.00337516837878437	74/224	1.77957933720063
E2F1	MEyellow	COLLECTRI	0.000231499269001743	0.00703995212912993	73/226	1.71772069995363
HBP1	MEyellow	COLLECTRI	2.00021894862059e-05	0.000948903869225608	19/34	4.48537840608402
ESR1	MEyellow	COLLECTRI	0.000319217557521725	0.00901409579097062	125/430	1.49218600702088
JUN	MEyellow	COLLECTRI	2.87863604237994e-06	0.000162574397441077	141/454	1.66671786860669
IRF1	MEyellow	COLLECTRI	1.82666919288557e-09	3.61071610460381e-07	55/117	3.21776246587453
ATF2	MEyellow	COLLECTRI	8.91480290495493e-05	0.00330404882664892	34/83	2.47141820252873
IRF3	MEyellow	COLLECTRI	0.000668690986335031	0.0158613501958669	22/51	2.68432095285006
ETS1	MEyellow	COLLECTRI	1.88898607806302e-07	2.10748389697508e-05	62/153	2.46898881641403
RBPJ	MEyellow	COLLECTRI	0.00256165278085589	0.0454568732557283	32/90	1.95607677079245
PPARG	MEyellow	COLLECTRI	5.04971328505597e-07	4.27782854005456e-05	91/257	2.00507231718567
IRF2	MEyellow	COLLECTRI	4.98809733195299e-07	4.27782854005456e-05	24/41	5.02190661860367
SP3	MEyellow	COLLECTRI	8.70367824270533e-05	0.00330404882664892	97/310	1.65296434743256
NR3C1	MEyellow	COLLECTRI	1.61457947255512e-06	9.85505769274948e-05	73/199	2.10273910519443
REL	MEyellow	COLLECTRI	1.32132396871005e-11	3.9177255672253e-09	44/76	4.97258036341883
EGR1	MEyellow	COLLECTRI	1.32725252754639e-06	9.25953822158834e-05	86/244	1.98468114877084
ENO1	MEyellow	COLLECTRI	0.00256796838797116	0.0454568732557283	8/13	5.61827409621094
HMGA1	MEyellow	COLLECTRI	0.00180744185693486	0.0357271007054124	21/51	2.47353746687515
NFKB1	MEyellow	COLLECTRI	1.15786460882448e-13	6.86613713032917e-11	119/291	2.60660667873617
ATF3	MEyellow	COLLECTRI	0.000638017223676476	0.0154426209649041	30/77	2.26540694413432
IRF8	MEyellow	COLLECTRI	6.03805670524315e-07	4.77409016827892e-05	28/52	4.15905317355255
CEBPA	MEyellow	COLLECTRI	0.000329538045162898	0.00908911910612086	57/169	1.82310087992292
STAT6	MEyellow	COLLECTRI	0.000109233958728758	0.0037014707157802	35/87	2.39775282116367
HIF1A	MEyellow	COLLECTRI	0.000183237309327247	0.005873498617895	101/331	1.59270970909229
HIVEP2	MEyellow	COLLECTRI	0.000626209859645495	0.0154426209649041	7/9	12.2843256889514
E2F4	MEyellow	COLLECTRI	0.00199488239189609	0.0381601696256252	41/121	1.82225685791182
ELF1	MEyellow	COLLECTRI	1.4517942249649e-05	0.000717428312836821	26/53	3.42282704108834
ID2	MEyellow	COLLECTRI	0.00159442134270984	0.0331751528500679	18/41	2.76244272090842
ELF2	MEyellow	COLLECTRI	0.000626209859645495	0.0154426209649041	7/9	12.2843256889514
SREBF1	MEyellow	COLLECTRI	0.00285879968929472	0.0484362347357648	31/87	1.96173171136741
MYCN	MEyellow	COLLECTRI	0.00184206970134645	0.035814666652408	35/99	1.94154484874045
SSRP1	MEyellow	COLLECTRI	0.00122268882380982	0.0263656171825172	35/97	2.00530604976911
KLF5	MEyellow	COLLECTRI	0.000107478763622685	0.0037014707157802	24/52	3.03976235678386
IRF4	MEyellow	COLLECTRI	3.55117568758611e-06	0.000191440652976233	22/39	4.5940545513601
BCL6	MEyellow	COLLECTRI	5.77314825550516e-08	7.62868620057986e-06	34/64	4.05847210781481
CIITA	MEyellow	COLLECTRI	5.36462986121569e-08	7.62868620057986e-06	18/24	10.6348903230653
SATB1	MEyellow	COLLECTRI	0.00174155472717545	0.0350082018038997	14/29	3.28837771749354
NFKB2	MEyellow	COLLECTRI	1.66189843048052e-06	9.85505769274948e-05	28/54	3.83729450499575
ELK3	MEyellow	COLLECTRI	0.000802634934309274	0.0183062506171307	11/19	4.83898114570366
KLF6	MEyellow	COLLECTRI	0.00208438820580072	0.0386263189387446	19/45	2.57992362292122
TFDP1	MEyellow	COLLECTRI	2.49582487758695e-05	0.00113848011723774	15/24	5.88738803161582
PRDM1	MEyellow	COLLECTRI	0.00282453544109854	0.0484362347357648	19/46	2.48367929833595
KLF4	MEyellow	COLLECTRI	0.000880433471211943	0.0197017754124031	34/92	2.08257847564287
TBX21	MEyellow	COLLECTRI	0.00115490932874654	0.0253652308128407	17/37	2.99977958241292
RFX5	MEyellow	COLLECTRI	2.13236144719232e-07	2.10748389697508e-05	16/21	11.3245088390989
RFXANK	MEyellow	COLLECTRI	2.072980368414e-07	2.10748389697508e-05	13/15	22.9617466068927
RFXAP	MEyellow	COLLECTRI	8.16519862437034e-07	6.05245348031451e-05	12/14	21.1770135704709
KLF2	MEyellow	COLLECTRI	0.00208438820580072	0.0386263189387446	19/45	2.57992362292122
IRF5	MEyellow	COLLECTRI	0.000199801053870225	0.00623589604973913	13/22	5.09220130824108
TRERF1	MEyellow	COLLECTRI	4.23706782810832e-05	0.00173281463590913	10/13	11.7314481143379
IKZF1	MEyellow	COLLECTRI	0.000247538030966871	0.00733950261816772	14/25	4.4890012704618
NFATC1	MEyellow	COLLECTRI	0.00135540323379999	0.0287055042015498	32/87	2.06451043188951
STAT2	MEyellow	COLLECTRI	0.000157035044337864	0.00517343229401963	20/41	3.37025142044577
NOTCH1	MEyellow	COLLECTRI	0.000498617098259711	0.0131413306341337	21/47	2.85713509159146
GLI2	MEyellow	COLLECTRI	0.00167785687532256	0.0343092802436648	34/95	1.97848097582999
SETBP1	MEyellow	COLLECTRI	0.00244906975543921	0.0446861035377062	4/4	Inf
SIN3A	MEyellow	COLLECTRI	0.0026593445871133	0.0463820982399467	5/6	17.5176136164586
AP1	MEyellow	COLLECTRI	1.40902336217457e-06	9.28389837521689e-05	125/388	1.75339063950123
NFKB	MEyellow	COLLECTRI	5.789053609209e-08	7.62868620057986e-06	171/542	1.73502572300686
CRX	MEturquoise	COLLECTRI	2.15819959455907e-05	0.0255962471914706	14/23	6.24682165705251
MYOD1	MEtan	COLLECTRI	1.2675059229219e-09	3.75815506146343e-07	15/105	9.61170554561444
SRF	MEtan	COLLECTRI	0.000233455564378275	0.0346097874190793	8/84	5.56881172695924
MEF2A	MEtan	COLLECTRI	4.10418154233327e-15	2.43377965460363e-12	19/91	16.147902711414
MEF2C	MEtan	COLLECTRI	3.06162674762187e-15	2.43377965460363e-12	17/66	20.7341412095033
MYF5	MEtan	COLLECTRI	1.66339517642583e-06	0.000394557335848207	6/20	22.4004105458978
MYOG	MEtan	COLLECTRI	2.17169804281704e-13	8.58544626260336e-11	14/49	23.0334565973365
MYF6	MEtan	COLLECTRI	4.41815491690273e-05	0.00748561675920948	4/11	29.1589261235454
MEF2D	MEtan	COLLECTRI	2.29158508015919e-06	0.000452969984178133	6/21	20.9045010951186
