nes_Mild_vs_Control	fdr_Mild_vs_Control	nes_Moderate_vs_Mild	fdr_Moderate_vs_Mild	nes_Severe_vs_Moderate	fdr_Severe_vs_Moderate
HOXB8	1	1	1	1	1	1
HOXB9	-0.550102048702109	0.910126468434611	-0.0687990446426125	0.963518209937703	0.836566251118128	0.650035647176787
HOXC10	1	1	1	1	1	1
HOXC11	1	1	1	1	1	1
HOXC13	1	1	1	1	1	1
HOXC4	1	1	1	1	1	1
HOXC5	1	1	1	1	1	1
HOXC6	0.748049034751872	0.816497619937636	1.86509448893887	0.243651988982828	2.84167032924441	0.0406328677794861
HOXC8	-0.371662580523171	0.932775072343588	1.36928422084908	0.418917216007793	0.765081961710279	0.687929714179774
HOXC9	1	1	1	1	1	1
HOXD1	1	1	1	1	1	1
HOXD10	1	1	1	1	1	1
HOXD11	1	1	1	1	1	1
HOXD12	1	1	1	1	1	1
HOXD13	0.0026314149143669	0.999136142470438	-1.28385725142267	0.451175382664296	0.172613592164167	0.927779145670201
HOXD3	1.52521626790539	0.544976953733048	2.54519256637967	0.0700205462252289	2.75930801660163	0.0477458519370997
HOXD4	1	1	1	1	1	1
HOXD8	1	1	1	1	1	1
HOXD9	1	1	1	1	1	1
HR	2.59458046381817	0.133820451125802	4.02557933337323	0.00156161517812965	4.15795933935914	0.000842166011804342
HSF1	1.27037082590655	0.659643391850964	3.15214835840534	0.0183365964879312	2.59100344210449	0.0657344051352472
HSF2	-0.138178641542324	0.973829306570502	1.59259625328839	0.338548920214622	2.71053399810825	0.0523783145544901
HSF4	0.176708801187011	0.967142630640593	-0.149191660654109	0.92343487065928	0.490397426391595	0.799917792097109
HTATIP2	-0.755683770907538	0.816216972363386	0.33040032145177	0.874464737700622	0.171969254069623	0.927779145670201
ID1	2.41018194282464	0.19166698084295	1.12577654470741	0.512525891260092	1.15893993938119	0.497663069709838
ID2	1.38952214392795	0.620546558889896	-1.11857093495182	0.516794228011595	0.812139144314785	0.661802287088159
ID3	2.96260686066621	0.0790155788984495	0.155150191544543	0.92343487065928	0.968915133988354	0.581524263756569
ID4	0.0727870411675441	0.981397547531904	-0.394357598009815	0.843974545570855	-0.808927881553153	0.661802287088159
IKZF1	0.741584623043405	0.816497619937636	1.26449770375602	0.452059632716901	-0.199496885309602	0.926768380101693
IKZF2	1	1	1	1	1	1
IKZF3	1	1	1	1	1	1
IKZF4	0.406859383339302	0.926766352502805	0.00243899132252606	0.998053968409211	-0.739864760212908	0.699139177584087
IKZF5	1	1	1	1	1	1
ING4	1.32310670516432	0.653670407273468	-0.882481308875381	0.644884752357384	-1.70483925894006	0.282808239093991
INSM1	1	1	1	1	1	1
IRF1	4.71524673349413	0.000297135210867777	3.88220299745794	0.00233074662630096	0.969387429951933	0.581524263756569
IRF2	1.83052380484314	0.377022376866958	1.58552503223189	0.338548920214622	-0.586794094824484	0.763626663248962
IRF2BPL	1	1	1	1	1	1
IRF3	0.789960167704479	0.804903355899697	1.23223924830672	0.470110109280542	0.623322770751294	0.754838944325781
IRF4	2.85829340488545	0.10239979570029	4.5975694417403	0.000154466877991221	1.37747237475942	0.410398622627183
IRF5	1.20534524429339	0.688229811176503	3.87867958926234	0.00233074662630096	3.24479084182662	0.016147334119166
IRF6	1.01082902511004	0.729071663841748	2.24453755353889	0.122293599026453	1.86156775736184	0.234786701287226
IRF7	2.66827764677234	0.118895099412972	2.2935363188009	0.116560127372309	2.39712066396018	0.101293879904031
IRF8	2.06374436138914	0.304421776014926	1.6281408599462	0.323599111535888	2.29664937130972	0.12240760721113
IRF9	1.66779857934025	0.473669272791792	0.755896210769077	0.677502592186843	0.399739095601517	0.84057026191183
IRX1	-1.28404725725745	0.657847677221154	-1.15200686217946	0.50306301881367	-1.7968348754734	0.254539524825068
IRX2	1	1	1	1	1	1
IRX3	1	1	1	1	1	1
IRX4	1	1	1	1	1	1
IRX5	1	1	1	1	1	1
ISL1	-0.05828685003716	0.985987673569414	-1.27203119214615	0.451307289393809	-1.09501651220392	0.520841337472162
ISL2	1	1	1	1	1	1
ISX	1	1	1	1	1	1
JARID2	0.124641631655709	0.975170344620873	-0.0412088426720698	0.973880743875068	-1.11306066918161	0.512704782044661
JAZF1	1	1	1	1	1	1
JDP2	0.923510778292208	0.760256162665743	0.390125927364993	0.844364496958485	1.12137530585855	0.509252318066003
JUN	4.4245493021987	0.000764096744061457	8.17015858246279	1.7770696697167e-13	7.52887137532789	2.95313033902855e-11
JUNB	0.806205318502062	0.804903355899697	0.542182516714171	0.784950770780503	1.76788078445609	0.259499432245333
JUND	1.04172028431523	0.717796074973296	3.08888966611702	0.0210768695980585	2.9531095577785	0.0337776293648668
KAT2A	1	1	1	1	1	1
KAT2B	-0.530417016768346	0.913556089736149	0.737237248774892	0.687298075374949	-1.04052272785482	0.544310230146032
KAT5	0.43917067773653	0.926766352502805	1.95464388802137	0.216753967283517	1.7652392412615	0.259499432245333
KAT6A	0.492055400060389	0.926766352502805	0.251373510838083	0.904381107337413	0.7184877461608	0.708588348361311
KAT6B	1	1	1	1	1	1
KAT7	2.69898961888617	0.118895099412972	2.53976012891592	0.0703359953602214	2.43590171151155	0.0946538672382798
KAT8	1	1	1	1	1	1
KCNIP3	1	1	1	1	1	1
KDM2A	0.432392767224026	0.926766352502805	0.403553497486133	0.841049272766241	0.0667190173994628	0.971747417174357
KDM2B	1	1	1	1	1	1
KDM3B	1	1	1	1	1	1
KDM5A	1.03577376814747	0.718993949526203	1.8309682482999	0.249804825616833	1.16976257243379	0.495353537099329
KDM5B	1.15951330893378	0.688229811176503	0.77216189567807	0.674684593950947	3.01848295155263	0.0305381691782532
KDM5C	-1.13214943164937	0.688229811176503	-0.543266704215866	0.784950770780503	-1.21744280474818	0.479038609992406
KDM5D	-0.586488785921676	0.901133540519915	0.792774101060025	0.666202981434208	-0.282427565958308	0.881501468738358
KLF1	-0.610974152582887	0.889960159928574	-0.256833211711984	0.904381107337413	-0.405645684879668	0.83874204610437
KLF10	0.470963836755014	0.926766352502805	0.531826893290066	0.792581225643575	0.328086993874733	0.864392220466565
KLF11	0.395476351452905	0.930649351833569	-0.236984799351418	0.911592686709828	-1.01324580600355	0.562426257305227
KLF12	1	1	1	1	1	1
KLF13	-1.10959112221388	0.688229811176503	-0.109178480278686	0.944150816760683	-0.728028731611392	0.702939663560595
KLF14	1	1	1	1	1	1
KLF15	-0.352960143958649	0.943151852994886	-1.54633874431284	0.356267832377088	-1.0439048574782	0.543166571181872
KLF16	1	1	1	1	1	1
KLF17	1	1	1	1	1	1
KLF2	0.410790434497439	0.926766352502805	1.44662110162215	0.396237109415855	0.0602470181422699	0.973901213675677
KLF3	0.406718386647805	0.926766352502805	-0.382434300608461	0.847561398596996	-0.707998863669572	0.712246960651647
KLF4	0.883790021897856	0.762305589782113	2.44264157469206	0.0867297007934104	1.65160130615561	0.305921223240815
KLF5	2.34816845882553	0.200243025166132	3.17320996648546	0.0177531654587424	1.91090784223725	0.21487907738897
KLF6	1.65257010363	0.477205118920047	0.150321568672413	0.92343487065928	1.16497674628499	0.497542014401911
KLF7	-1.98987455153454	0.316364051949288	0.675603843747936	0.711876592902794	0.285753882342458	0.880690367403578
KLF8	0.246921650599776	0.958320052016899	3.11960262523383	0.0197154547044127	0.346831826165791	0.857199131318496
KLF9	0.337111194980102	0.950091915660722	0.342091940202307	0.871188747389393	1.62340916127937	0.315694425704946
KMT2A	1.66847991406463	0.473669272791792	2.6354573391193	0.0570374595127937	1.40727260478414	0.401497688228333
KMT2B	0.603403780889488	0.890878923531095	0.874470463687567	0.644884752357384	0.61455669192956	0.754838944325781
KMT2C	1	1	1	1	1	1
KMT2D	1	1	1	1	1	1
KMT2E	1	1	1	1	1	1
L3MBTL1	1	1	1	1	1	1
LBX1	1	1	1	1	1	1
LCOR	1	1	1	1	1	1
LDB1	1	1	1	1	1	1
LEF1	-0.07999776263193	0.980814251074411	1.31220771665435	0.440883828980759	2.68717218247949	0.0539980552754343
LHX1	1	1	1	1	1	1
LHX2	1.73488188310003	0.430211869115532	2.36214359524906	0.102782949481286	1.83974268154941	0.244968231713479
LHX3	1	1	1	1	1	1
LHX4	1	1	1	1	1	1
LHX5	1	1	1	1	1	1
LHX6	1	1	1	1	1	1
LHX8	1	1	1	1	1	1
LHX9	1	1	1	1	1	1
LIMD1	1	1	1	1	1	1
LIN28A	1	1	1	1	1	1
LITAF	0.573622843817196	0.903951259136266	-0.163762968916452	0.92343487065928	0.87188218448218	0.633662811351707
LMO1	1	1	1	1	1	1
LMO2	1.81823957045744	0.382970015326675	-0.334283837285036	0.874394977307393	-0.505401559060726	0.794138309757447
LMO3	1	1	1	1	1	1
LMO4	1	1	1	1	1	1
LMX1A	1	1	1	1	1	1
LMX1B	1.66432588524793	0.473669272791792	1.74676926310248	0.27576245117379	2.97659285951709	0.0336357301883336
LRRFIP1	-1.03951914528954	0.717796074973296	1.21118536058965	0.480814253504535	-0.514684397871983	0.793896495204794
LYAR	1	1	1	1	1	1
LYL1	0.214012565917138	0.962536504605234	0.718539910113512	0.695477713005515	0.327043476874605	0.864392220466565
MAF	0.0182309864456397	0.999136142470438	1.34758050765342	0.427444829863334	2.0391932135214	0.173263792925552
MAFA	0.107626629698301	0.976937796820143	0.451715640574316	0.822539192562649	2.73984413859429	0.049292474174363
MAFB	0.836613700264884	0.785206828443236	1.09888553011115	0.528077391873941	1.42759917636807	0.389938279722672
MAFF	1	1	1	1	1	1
MAFG	1	1	1	1	1	1
MAFK	0.99859950718284	0.73391800957192	0.765509532925022	0.675909358370589	2.12534219076537	0.157422817137925
MAML1	1	1	1	1	1	1
MAML2	1	1	1	1	1	1
MAX	1.43691052977424	0.600269683709002	1.13780711768649	0.506017166969917	0.173423692294433	0.927779145670201
MAZ	2.3371850296087	0.200243025166132	1.66756857577403	0.312764819313964	1.77999953606176	0.256338193961604
MBD1	0.456522030302555	0.926766352502805	1.17367550725213	0.499219205125285	0.756377535129914	0.692406073508159
MBD2	-1.08159866450522	0.701846138169475	0.841382557070277	0.654157463622386	-0.0233146883514233	0.989977920107707
MBD3	1	1	1	1	1	1
MECOM	2.67032515342777	0.118895099412972	1.15418739778704	0.50306301881367	1.48624467728586	0.359875985872669
MECP2	-1.77896984756552	0.402731789996649	-1.36569203988194	0.418917216007793	-1.38110660195368	0.410398622627183
MED1	-0.535583657527276	0.913556089736149	-0.314632935070953	0.879777035413717	-0.0843027320792226	0.962556111821478
MED12	1	1	1	1	1	1
MED15	1	1	1	1	1	1
MED23	1	1	1	1	1	1
MED26	1	1	1	1	1	1
MEF2A	0.946107490605481	0.746398878156043	1.08800850950042	0.530209998295214	-0.781120520744587	0.676118978670427
MEF2B	1	1	1	1	1	1
MEF2C	-0.322277144932982	0.953843885110116	-0.476160490416855	0.814688075310276	0.299349284949856	0.875158439856496
MEF2D	0.192537603966844	0.967142630640593	2.17055881068525	0.142888749714188	-0.0249345019506657	0.989977920107707
MEIS1	-0.704499382491163	0.835369198818686	0.456593732505239	0.821972039221043	1.57276084011686	0.330701569480739
MEIS2	1	1	1	1	1	1
MEIS3	1	1	1	1	1	1
MEOX1	1	1	1	1	1	1
MEOX2	1.22637556567559	0.688229811176503	0.885129014106112	0.644884752357384	1.20927638440276	0.479038609992406
MESP1	1	1	1	1	1	1
MESP2	1	1	1	1	1	1
MGA	1	1	1	1	1	1
MID2	1	1	1	1	1	1
MIER1	1	1	1	1	1	1
MITF	0.601394036017534	0.890878923531095	2.59495744047613	0.0627422056751467	1.21093552255983	0.479038609992406
MIXL1	1	1	1	1	1	1
MKX	1	1	1	1	1	1
MLX	1.38834663182711	0.620546558889896	1.50609434542786	0.367868969968406	1.81445878955082	0.25163295586769
MLXIP	1	1	1	1	1	1
MLXIPL	0.798778328920476	0.804903355899697	-0.0243075810437098	0.984018074002651	1.66597840483086	0.300158271638386
MNT	1	1	1	1	1	1
MNX1	1	1	1	1	1	1
MRTFA	1	1	1	1	1	1
MSC	1.08084659381038	0.701846138169475	0.332485135930964	0.874394977307393	2.84242176693878	0.0406328677794861
MSGN1	1	1	1	1	1	1
MSX1	-0.201041467849874	0.965955139031731	2.07755244206478	0.174256771178417	1.58155013302648	0.326542688348938
MSX2	0.230606096126817	0.962536504605234	-0.460225490450732	0.821972039221043	0.0370701725625978	0.987544205395316
MTA1	0.431321559344246	0.926766352502805	1.01071177479006	0.579141764172217	0.358827552677258	0.856910735489816
MTA2	1	1	1	1	1	1
MTA3	-2.00645871742532	0.316364051949288	-1.1558573110076	0.50306301881367	-1.37223014530533	0.410398622627183
MTF1	-0.132251131486465	0.973829306570502	-0.888327997706087	0.644884752357384	-0.911865761121956	0.608691914063118
MTF2	1	1	1	1	1	1
MUC1	1	1	1	1	1	1
MXD1	-0.748918418970676	0.816497619937636	-0.404681519647684	0.841049272766241	0.338624430328073	0.860107655374621
MXD4	1	1	1	1	1	1
MXI1	-0.398437957194717	0.930624673227535	1.16519631661836	0.50306301881367	-0.116975674499141	0.953131827767946
MYB	0.642499810814848	0.875675238737414	3.65736044220576	0.00436898493473973	3.61561444716122	0.00617464306726116
MYBBP1A	1	1	1	1	1	1
MYBL1	0.238652245598856	0.962536504605234	0.634798530859325	0.734256699907699	1.46079195617528	0.373300862935714
MYBL2	-1.13889152584122	0.688229811176503	-0.232143022106026	0.911592686709828	1.20998167778272	0.479038609992406
MYC	2.67453764678475	0.118895099412972	3.22278291562834	0.0158166375312115	3.99236478039311	0.00157274902756543
MYCL	1	1	1	1	1	1
MYCN	1.48148781377371	0.566673868354182	2.80993961748106	0.0411320978557605	1.81137934337429	0.25163295586769
MYF5	0.372306233604182	0.932775072343588	1.88756735441096	0.240300239851613	0.39155901407431	0.844708657094194
MYF6	-0.504673262330632	0.925087784799619	0.134110830654515	0.928725617513374	-2.23931073377429	0.133057814328582
MYOCD	-2.48739462294703	0.168749642747585	1.49267455019798	0.374145568537331	0.852051155220831	0.64615099165498
MYOD1	1.54505860309376	0.534739510053665	1.63531781796788	0.323599111535888	-0.80877526259237	0.661802287088159
MYOG	-0.294484529888117	0.957975387322644	-0.395557511346699	0.843974545570855	-1.18571648295632	0.487522155090651
MYRF	1.09630834787865	0.693782404065984	1.15279729375955	0.50306301881367	-0.0435357567673963	0.984034212780604
MYT1	1	1	1	1	1	1
MYT1L	1	1	1	1	1	1
MZF1	-0.394039996699499	0.930649351833569	-0.721087192974572	0.695477713005515	0.248293129362418	0.904200182473647
NAB1	1	1	1	1	1	1
NAB2	1	1	1	1	1	1
NACC1	1	1	1	1	1	1
NACC2	1	1	1	1	1	1
NANOG	-0.0882869019983925	0.980814251074411	1.82377124343242	0.250596844409149	0.754515648431955	0.692406073508159
NANOGP8	1	1	1	1	1	1
NCOA1	1.02832988525334	0.722867580115233	-0.29287021371077	0.887532312038653	0.0955220876169787	0.962556111821478
NCOA2	-0.249480181970949	0.958320052016899	-0.250427810352841	0.904381107337413	-1.25951428113735	0.464665138211995
NCOA3	0.666570300091138	0.857093865687062	1.50930842424325	0.367868969968406	2.19681530309078	0.143145222152089
NCOA4	1	1	1	1	1	1
NCOA6	1	1	1	1	1	1
NCOR1	-0.0978882283760943	0.977553069850791	-0.146447851518058	0.923584514499531	0.146378949201534	0.935278197621014
NCOR2	-2.0779065415953	0.298126951800835	-1.31207154510293	0.440883828980759	-1.09274153470429	0.521022075348645
NDN	1	1	1	1	1	1
NEUROD1	-0.00301269975459579	0.999136142470438	0.148657007506597	0.92343487065928	0.96342959001191	0.584551522928654
NEUROD2	1	1	1	1	1	1
NEUROD4	1	1	1	1	1	1
NEUROD6	2.59319421746493	0.133820451125802	1.58807287587171	0.338548920214622	0.792833811363997	0.667253177260982
NEUROG1	0.976267549781679	0.736500811450878	-0.699617834570652	0.698409457428557	0.346776909387995	0.857199131318496
NEUROG2	0.338573690755672	0.950091915660722	-1.26548106921026	0.452059632716901	-0.98427019155832	0.576969253421476
NEUROG3	2.20557236767751	0.250229314783721	-0.0509789655301429	0.971123678268732	-1.26500427025295	0.462205731245511
NFAT5	2.05536795065286	0.306529162320927	2.69466825078099	0.051516228586716	3.42690992448831	0.0106743521145092
NFATC1	0.828653839017141	0.791287140739685	3.52367636949347	0.0064624567846136	0.901535084916005	0.61430244485366
NFATC2	0.257739673856729	0.957975387322644	2.44987582736052	0.0858921522824128	1.95168993416669	0.202845457821608
NFATC3	1.36368426806694	0.634578563400025	0.775310457513867	0.674176388145114	0.713893830959422	0.708640734477742
NFATC4	0.44333712885196	0.926766352502805	1.12904952148242	0.511547933383603	0.890939101477059	0.621962377747417
NFE2	-0.0343161893816366	0.991672390058397	0.554623293840147	0.780773148405349	-0.651071984379768	0.74288752925742
NFE2L1	1	1	1	1	1	1
NFE2L2	1.49815030182927	0.556635654620654	2.25641721043197	0.122293599026453	0.601043682290201	0.757833312144612
NFE2L3	-0.474632215476142	0.926766352502805	2.42845956793018	0.0892767118191761	-0.145574001794161	0.935278197621014
NFIA	-1.31973109847421	0.653670407273468	-0.961263184793853	0.612347809612617	0.0825660804920127	0.962556111821478
NFIB	1.15311330355225	0.688229811176503	1.86203662085124	0.243651988982828	0.82921628991659	0.652301751696755
NFIC	-0.370765507867156	0.932775072343588	0.812464044374043	0.661398171213309	0.734205937245979	0.700916028525768
NFIL3	0.29427734963905	0.957975387322644	0.512833012356321	0.797398440859924	0.547208193847064	0.780333340804257
NFIX	-2.03713295187756	0.311270024030699	-0.701036815017158	0.698409457428557	-1.77853982685702	0.256338193961604
NFKB	3.53729975319845	0.0166604873066832	6.27754044050857	3.30785266460448e-08	5.47626261933643	2.50650442247039e-06
NFKB1	4.38169705139522	0.000764096744061457	6.32457965921262	2.93026951845495e-08	5.67271520296857	1.46649168710153e-06
NFKB2	1.9585661999154	0.32521801867596	3.50225654250791	0.00670083768484046	2.732090624104	0.0497435870391032
NFKBIB	0.780075732245841	0.805111586352892	1.78894504052195	0.263856247975541	2.09589592835314	0.159892521009967
NFKBIE	1	1	1	1	1	1
NFKBIZ	0.0443647066062953	0.991506999335119	-0.0155398548044621	0.989316074707841	1.64498935799468	0.308469771626329
NFX1	1	1	1	1	1	1
NFYA	0.133676828219166	0.973829306570502	2.68611219195238	0.0521383050495526	2.76023242400848	0.0477458519370997
NFYB	2.39046573450132	0.198146736907473	3.47594112906522	0.00699356999685057	3.27447013485508	0.0152703523537922
NFYC	0.87587058134817	0.762305589782113	3.95208755923948	0.00203188927528717	4.03789684719549	0.00135300372691765
NHLH1	1	1	1	1	1	1
NHLH2	1	1	1	1	1	1
NKRF	-0.821676818883639	0.796300381876115	1.75925170012814	0.272979278490934	-0.208420033158334	0.924640856016833
NKX2-1	1.80184883674769	0.393289748711135	2.70916793412784	0.051210411578763	1.1312215109969	0.504555929242199
NKX2-2	-0.521482343458934	0.914136244651332	1.84392047617881	0.248161302789569	2.12933503751676	0.157422817137925
NKX2-3	1	1	1	1	1	1
NKX2-5	-0.373789475804353	0.932775072343588	-1.56429023792661	0.348417525304607	-1.50439505869453	0.350645747494255
NKX2-6	1	1	1	1	1	1
NKX2-8	1	1	1	1	1	1
NKX3-1	2.44154823995012	0.183441274191496	2.92540518890755	0.0332178131010994	0.67707568969276	0.729828748578815
NKX3-2	1	1	1	1	1	1
NKX6-1	1	1	1	1	1	1
NKX6-2	1	1	1	1	1	1
NKX6-3	1	1	1	1	1	1
NME2	1	1	1	1	1	1
NOBOX	1	1	1	1	1	1
NONO	-0.897297069279301	0.762305589782113	-1.26963565413809	0.45146258082185	-0.43280920487423	0.821827630562357
NOTCH1	1.10821269929582	0.688229811176503	1.3669440829767	0.418917216007793	1.10871978858513	0.513611687928828
NOTO	2.23262588969257	0.241901341335091	0.743728128745488	0.684967893045845	-0.531887096585788	0.78356625649086
NPAS1	1	1	1	1	1	1
NPAS2	-1.13332605601554	0.688229811176503	-1.33477902084705	0.433819790743828	-3.18593347593977	0.0193048883482707
NPAS3	1	1	1	1	1	1
NPAS4	1	1	1	1	1	1
NPM1	1.09752073769909	0.693782404065984	0.929829150299162	0.630740269918895	1.79139617704874	0.254539524825068
NR0B1	0.170304533245821	0.967142630640593	-0.757719512278831	0.677502592186843	-1.32520397050543	0.434165547106167
NR0B2	0.844415925976178	0.781966544157905	0.645431495308284	0.729901620589341	0.507825920392071	0.794138309757447
NR1D1	-1.07751439121172	0.702517545155388	-0.563856652499231	0.7753218851913	-0.616510426125104	0.754838944325781
NR1D2	1	1	1	1	1	1
NR1H2	0.760041128496765	0.814043250874787	-0.847431450658601	0.654157463622386	-0.595147412875732	0.758359236086854
NR1H3	1.8320852867841	0.377022376866958	-0.163023910589772	0.92343487065928	0.934492076027684	0.597570769623035
NR1H4	0.970504643861485	0.736500811450878	-0.901466585932682	0.644241180911197	-0.152841421752696	0.935254543091072
NR1I2	-0.886795529344094	0.762305589782113	1.066501108556	0.539659384359445	-0.497358771663218	0.798939853500503
NR1I3	-0.954284631318616	0.742974017878456	-0.523430217748634	0.79311079521744	-1.325430320527	0.434165547106167
NR2C1	-0.152103676141891	0.973829306570502	-0.48206010935079	0.811101323952725	-0.472933129758323	0.805093272615236
NR2C2	1.99234435008048	0.316364051949288	3.198216499677	0.0166224591674574	1.29298058000858	0.448818478758838
NR2E1	-0.416150183406341	0.926766352502805	-2.91499718216328	0.0332178131010994	-2.84031231334431	0.0406328677794861
NR2E3	0.504296452018296	0.925087784799619	-0.503616161474354	0.802227294024904	-0.83907519667827	0.650035647176787
NR2F1	-0.077384128720316	0.980814251074411	1.9268855860534	0.224132911141518	-0.346703013198445	0.857199131318496
NR2F2	1.96303037705057	0.32521801867596	2.80767672256844	0.0411320978557605	3.17241565253134	0.0193841824912158
NR2F6	2.61636133144639	0.131485657327426	1.9035980535796	0.234767091443739	0.450003564221556	0.811664744236617
NR3C1	-0.22100956083894	0.962536504605234	0.348912145343564	0.867350143743297	-0.0661938745417956	0.971747417174357
NR3C2	0.130472005254363	0.973829306570502	2.26795314642337	0.120201786520636	1.12372157299101	0.509029325024245
NR4A1	-0.404507961590581	0.926766352502805	-1.50841112295949	0.367868969968406	-0.90860636000244	0.60980504683182
NR4A2	-0.812454944256582	0.801127244691476	0.250111546896688	0.904381107337413	-0.507746741136278	0.794138309757447
NR4A3	1.59603519553124	0.50997999899479	0.178948623785534	0.922344043515947	1.17844602168679	0.491725251649993
NR5A1	1.27611287244417	0.659643391850964	1.62882775061999	0.323599111535888	1.21701224027353	0.479038609992406
NR5A2	-1.61954564480216	0.492220551787892	-1.5359045929521	0.360662726737454	-0.308260866033903	0.871113498977808
NR6A1	-1.24962578784768	0.674026146915194	0.702440497511994	0.698409457428557	0.178856098067441	0.927779145670201
NRF1	1.55680913855038	0.530466312010106	1.43459969237575	0.402573703872104	-0.61450095717743	0.754838944325781
NRG1	0.79815950770954	0.804903355899697	0.210952497529662	0.913683162352635	0.0955372109547004	0.962556111821478
NRIP1	1	1	1	1	1	1
NRL	-2.31812795371152	0.205302124083591	-2.14770405100509	0.15010169447976	-2.43002710930911	0.094688795273013
NSD1	1	1	1	1	1	1
NSD2	1	1	1	1	1	1
NUCKS1	1	1	1	1	1	1
NUPR1	1	1	1	1	1	1
OLIG1	1	1	1	1	1	1
OLIG2	1	1	1	1	1	1
OLIG3	1	1	1	1	1	1
ONECUT1	0.533306247599203	0.913556089736149	-0.282856340375789	0.887532312038653	-2.22997728605585	0.133848149888561
ONECUT2	1	1	1	1	1	1
ONECUT3	1	1	1	1	1	1
OSR1	1	1	1	1	1	1
OSR2	1	1	1	1	1	1
OTP	1	1	1	1	1	1
OTX1	1	1	1	1	1	1
OTX2	-0.917444853315522	0.761754117393216	-1.08167186106709	0.532055624396146	0.309950906737748	0.871113498977808
OVOL1	0.484883732553227	0.926766352502805	-0.0718360318816099	0.962755032579409	-1.36413554897529	0.414015511146758
OVOL2	1	1	1	1	1	1
PA2G4	1	1	1	1	1	1
PARK7	1.17748945452125	0.688229811176503	0.690911042633442	0.701021276533609	1.71513387483201	0.281395679063613
PARP10	1	1	1	1	1	1
PARP14	1	1	1	1	1	1
PARP9	1	1	1	1	1	1
PASD1	1	1	1	1	1	1
PATZ1	1	1	1	1	1	1
PAWR	1	1	1	1	1	1
PAX1	1	1	1	1	1	1
PAX2	-0.214766904291528	0.962536504605234	-0.232289830169077	0.911592686709828	1.20903122318295	0.479038609992406
PAX3	1.70881743003699	0.446714283573834	0.227593632805229	0.913355544962225	0.102222150458831	0.961925335444153
PAX4	1	1	1	1	1	1
PAX5	0.792209706208499	0.804903355899697	0.884746739694992	0.644884752357384	2.13475926609052	0.157422817137925
PAX6	-1.47024170537721	0.570932635443979	0.716544747474804	0.695477713005515	0.642814571802498	0.746862522896296
PAX7	1.52023427105719	0.544976953733048	0.623196683488675	0.741278547135867	1.30754928544468	0.4444727341266
PAX8	0.901940712267154	0.762305589782113	1.2356340360358	0.470110109280542	1.38216442692545	0.410398622627183
PAX9	1	1	1	1	1	1
PBRM1	0.282995614036635	0.957975387322644	-0.129409812863349	0.929523503192853	0.237435117281288	0.910113022509383
PBX1	2.33945332879972	0.200243025166132	2.2473692920895	0.122293599026453	-0.267789400384977	0.890749599169557
PBX2	1	1	1	1	1	1
PBX3	1	1	1	1	1	1
PBX4	1	1	1	1	1	1
PCBD1	1	1	1	1	1	1
PCGF2	1	1	1	1	1	1
PDX1	-0.852360173957182	0.775925609055888	-1.55342306520109	0.354213517540548	-1.53207619795758	0.343165502906322
PEG3	1.86956365399154	0.369520596067945	-0.165825162260711	0.92343487065928	0.633625836253147	0.751706795885233
PER2	1	1	1	1	1	1
PGR	0.92705364464661	0.760256162665743	2.69431493176466	0.051516228586716	1.51972521731213	0.344627021242397
PHB1	1	1	1	1	1	1
PHF1	1	1	1	1	1	1
PHF20	1	1	1	1	1	1
PHF5A	1	1	1	1	1	1
PHF8	1	1	1	1	1	1
PHOX2A	1	1	1	1	1	1
PHOX2B	1	1	1	1	1	1
PIAS1	1	1	1	1	1	1
PIAS2	1	1	1	1	1	1
PIAS3	1	1	1	1	1	1
PIAS4	1	1	1	1	1	1
PIN1	-0.21160024497686	0.962536504605234	1.36558820770517	0.418917216007793	1.89272257607546	0.221669629780906
PIR	1	1	1	1	1	1
PITX1	0.100731248488993	0.977553069850791	-1.51210125540896	0.367868969968406	1.20396137692851	0.479653820285909
PITX2	0.965562296524349	0.736500811450878	3.49383078468506	0.00670083768484046	3.25189033134804	0.0161335175325715
PITX3	0.266748065210768	0.957975387322644	1.40150744075958	0.409861888543792	0.626419610519805	0.754704275387942
PKNOX1	0.550694640080489	0.910126468434611	1.15399965057251	0.50306301881367	-0.144596726020818	0.935278197621014
PLAG1	1.13472025741966	0.688229811176503	-0.675007900572484	0.711876592902794	-1.2189107156529	0.479038609992406
PLAGL1	0.430001977210968	0.926766352502805	-0.868538529228999	0.647820592059603	-0.113536072846361	0.954258930113479
PLAGL2	-0.208554883862267	0.963354276427117	-0.193388552497833	0.91940531258389	1.19375094515394	0.482719457116115
PLSCR1	1	1	1	1	1	1
PML	-0.0421101950718308	0.991506999335119	-0.168943925395267	0.92343487065928	-0.957167539272095	0.584744062724199
POU1F1	-1.58319008827946	0.519199917588542	-0.836669794475392	0.654157463622386	-2.03893497311142	0.173263792925552
POU2AF1	1	1	1	1	1	1
POU2F1	1.89872953916137	0.357368024984945	2.28787275471512	0.117225926382062	2.81273503293398	0.0428848619951748
POU2F2	2.78866589581091	0.113104038505082	3.89123521638796	0.00233074662630096	1.56169633602976	0.333487163827708
POU2F3	-0.614404431232668	0.889960159928574	-0.448809904314124	0.823382519146316	-0.661275383336966	0.736370923004351
POU3F1	0.00108268506594788	0.999136142470438	-0.85855849812116	0.651349857649777	0.125116183209282	0.948082147492753
