	term_id	term	signalling_ancestor	first_level_ancestor
265	R-HSA-9027276	Erythropoietin activates Phosphoinositide-3-kinase (PI3K) R-HSA-9027276		Signal Transduction R-HSA-162582
266	R-HSA-390666	Serotonin receptors R-HSA-390666		Signal Transduction R-HSA-162582
267	R-HSA-2197563	NOTCH2 intracellular domain regulates transcription R-HSA-2197563		Signal Transduction R-HSA-162582
268	R-HSA-375281	Hormone ligand-binding receptors R-HSA-375281		Signal Transduction R-HSA-162582
269	R-HSA-417957	P2Y receptors R-HSA-417957		Signal Transduction R-HSA-162582
270	R-HSA-170968	Frs2-mediated activation R-HSA-170968		Signal Transduction R-HSA-162582
271	R-HSA-8875555	MET activates RAP1 and RAC1 R-HSA-8875555		Signal Transduction R-HSA-162582
272	R-HSA-2586552	Signaling by Leptin R-HSA-2586552		Signal Transduction R-HSA-162582
273	R-HSA-5625970	RHO GTPases activate KTN1 R-HSA-5625970		Signal Transduction R-HSA-162582
274	R-HSA-9701898	STAT3 nuclear events downstream of ALK signaling R-HSA-9701898		Signal Transduction R-HSA-162582
275	R-HSA-9013700	NOTCH4 Activation and Transmission of Signal to the Nucleus R-HSA-9013700		Signal Transduction R-HSA-162582
276	R-HSA-8851805	MET activates RAS signaling R-HSA-8851805		Signal Transduction R-HSA-162582
277	R-HSA-193692	Regulated proteolysis of p75NTR R-HSA-193692		Signal Transduction R-HSA-162582
278	R-HSA-9028731	Activated NTRK2 signals through FRS2 and FRS3 R-HSA-9028731		Signal Transduction R-HSA-162582
279	R-HSA-170660	Adenylate cyclase activating pathway R-HSA-170660		Signal Transduction R-HSA-162582
280	R-HSA-193697	p75NTR regulates axonogenesis R-HSA-193697		Signal Transduction R-HSA-162582
281	R-HSA-8875656	MET receptor recycling R-HSA-8875656		Signal Transduction R-HSA-162582
282	R-HSA-198693	AKT phosphorylates targets in the nucleus R-HSA-198693		Signal Transduction R-HSA-162582
283	R-HSA-9706019	RHOBTB3 ATPase cycle R-HSA-9706019		Signal Transduction R-HSA-162582
284	R-HSA-419812	Calcitonin-like ligand receptors R-HSA-419812		Signal Transduction R-HSA-162582
285	R-HSA-1250342	PI3K events in ERBB4 signaling R-HSA-1250342		Signal Transduction R-HSA-162582
286	R-HSA-190377	FGFR2b ligand binding and activation R-HSA-190377		Signal Transduction R-HSA-162582
287	R-HSA-110056	MAPK3 (ERK1) activation R-HSA-110056		Signal Transduction R-HSA-162582
288	R-HSA-111932	CaMK IV-mediated phosphorylation of CREB R-HSA-111932		Signal Transduction R-HSA-162582
289	R-HSA-74749	Signal attenuation R-HSA-74749		Signal Transduction R-HSA-162582
290	R-HSA-8849469	PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1 R-HSA-8849469		Signal Transduction R-HSA-162582
291	R-HSA-1253288	Downregulation of ERBB4 signaling R-HSA-1253288		Signal Transduction R-HSA-162582
292	R-HSA-198203	PI3K/AKT activation R-HSA-198203		Signal Transduction R-HSA-162582
293	R-HSA-8943723	Regulation of PTEN mRNA translation R-HSA-8943723		Signal Transduction R-HSA-162582
294	R-HSA-2179392	EGFR Transactivation by Gastrin R-HSA-2179392		Signal Transduction R-HSA-162582
295	R-HSA-390696	Adrenoceptors R-HSA-390696		Signal Transduction R-HSA-162582
296	R-HSA-193634	Axonal growth inhibition (RHOA activation) R-HSA-193634		Signal Transduction R-HSA-162582
297	R-HSA-419771	Opsins R-HSA-419771		Signal Transduction R-HSA-162582
298	R-HSA-212718	EGFR interacts with phospholipase C-gamma R-HSA-212718		Signal Transduction R-HSA-162582
299	R-HSA-5666185	RHO GTPases Activate Rhotekin and Rhophilins R-HSA-5666185		Signal Transduction R-HSA-162582
300	R-HSA-9026519	Activated NTRK2 signals through RAS R-HSA-9026519		Signal Transduction R-HSA-162582
301	R-HSA-9623433	NR1H2 & NR1H3 regulate gene expression to control bile acid homeostasis R-HSA-9623433		Signal Transduction R-HSA-162582
302	R-HSA-391908	Prostanoid ligand receptors R-HSA-391908		Signal Transduction R-HSA-162582
303	R-HSA-8948747	Regulation of PTEN localization R-HSA-8948747		Signal Transduction R-HSA-162582
304	R-HSA-2428933	SHC-related events triggered by IGF1R R-HSA-2428933		Signal Transduction R-HSA-162582
305	R-HSA-112411	MAPK1 (ERK2) activation R-HSA-112411		Signal Transduction R-HSA-162582
306	R-HSA-9029558	NR1H2 & NR1H3 regulate gene expression linked to lipogenesis R-HSA-9029558		Signal Transduction R-HSA-162582
307	R-HSA-9034864	Activated NTRK3 signals through RAS R-HSA-9034864		Signal Transduction R-HSA-162582
308	R-HSA-194313	VEGF ligand-receptor interactions R-HSA-194313		Signal Transduction R-HSA-162582
309	R-HSA-444473	Formyl peptide receptors bind formyl peptides and many other ligands R-HSA-444473		Signal Transduction R-HSA-162582
310	R-HSA-190370	FGFR1b ligand binding and activation R-HSA-190370		Signal Transduction R-HSA-162582
311	R-HSA-5632681	Ligand-receptor interactions R-HSA-5632681		Signal Transduction R-HSA-162582
312	R-HSA-5362798	Release of Hh-Np from the secreting cell R-HSA-5362798		Signal Transduction R-HSA-162582
313	R-HSA-4411364	Binding of TCF/LEF:CTNNB1 to target gene promoters R-HSA-4411364		Signal Transduction R-HSA-162582
314	R-HSA-389397	Orexin and neuropeptides FF and QRFP bind to their respective receptors R-HSA-389397		Signal Transduction R-HSA-162582
315	R-HSA-201688	WNT mediated activation of DVL R-HSA-201688		Signal Transduction R-HSA-162582
316	R-HSA-75158	TRAIL  signaling R-HSA-75158		Signal Transduction R-HSA-162582
317	R-HSA-195399	VEGF binds to VEGFR leading to receptor dimerization R-HSA-195399		Signal Transduction R-HSA-162582
318	R-HSA-8948700	Competing endogenous RNAs (ceRNAs) regulate PTEN translation R-HSA-8948700		Signal Transduction R-HSA-162582
319	R-HSA-444821	Relaxin receptors R-HSA-444821		Signal Transduction R-HSA-162582
320	R-HSA-9017802	Noncanonical activation of NOTCH3 R-HSA-9017802		Signal Transduction R-HSA-162582
321	R-HSA-9715370	Miro GTPase Cycle R-HSA-9715370		Signal Transduction R-HSA-162582
322	R-HSA-5635851	GLI proteins bind promoters of Hh responsive genes to promote transcription R-HSA-5635851		Signal Transduction R-HSA-162582
323	R-HSA-190371	FGFR3b ligand binding and activation R-HSA-190371		Signal Transduction R-HSA-162582
324	R-HSA-9028335	Activated NTRK2 signals through PI3K R-HSA-9028335		Signal Transduction R-HSA-162582
325	R-HSA-170984	ARMS-mediated activation R-HSA-170984		Signal Transduction R-HSA-162582
326	R-HSA-199920	CREB phosphorylation R-HSA-199920		Immune System R-HSA-168256,Signal Transduction R-HSA-162582
327	R-HSA-9013419	RHOT2 GTPase cycle R-HSA-9013419		Signal Transduction R-HSA-162582
328	R-HSA-9027283	Erythropoietin activates STAT5 R-HSA-9027283		Signal Transduction R-HSA-162582
329	R-HSA-9032500	Activated NTRK2 signals through FYN R-HSA-9032500		Signal Transduction R-HSA-162582
330	R-HSA-112412	SOS-mediated signalling R-HSA-112412		Signal Transduction R-HSA-162582
331	R-HSA-9027277	Erythropoietin activates Phospholipase C gamma (PLCG) R-HSA-9027277		Signal Transduction R-HSA-162582
332	R-HSA-187015	Activation of TRKA receptors R-HSA-187015		Signal Transduction R-HSA-162582
333	R-HSA-6806942	MET Receptor Activation R-HSA-6806942		Signal Transduction R-HSA-162582
334	R-HSA-9603381	Activated NTRK3 signals through PI3K R-HSA-9603381		Signal Transduction R-HSA-162582
335	R-HSA-388479	Vasopressin-like receptors R-HSA-388479		Signal Transduction R-HSA-162582
336	R-HSA-8851907	MET activates PI3K/AKT signaling R-HSA-8851907		Signal Transduction R-HSA-162582
337	R-HSA-8857538	PTK6 promotes HIF1A stabilization R-HSA-8857538		Signal Transduction R-HSA-162582
338	R-HSA-9634635	Estrogen-stimulated signaling through PRKCZ R-HSA-9634635		Signal Transduction R-HSA-162582
339	R-HSA-5626978	TNFR1-mediated ceramide production R-HSA-5626978		Signal Transduction R-HSA-162582
340	R-HSA-5674499	Negative feedback regulation of MAPK pathway R-HSA-5674499		Signal Transduction R-HSA-162582
341	R-HSA-1912399	Pre-NOTCH Processing in the Endoplasmic Reticulum R-HSA-1912399		Signal Transduction R-HSA-162582
342	R-HSA-205025	NADE modulates death signalling R-HSA-205025		Signal Transduction R-HSA-162582
343	R-HSA-8849470	PTK6 Regulates Cell Cycle R-HSA-8849470		Signal Transduction R-HSA-162582
344	R-HSA-193670	p75NTR negatively regulates cell cycle via SC1 R-HSA-193670		Signal Transduction R-HSA-162582
345	R-HSA-9032845	Activated NTRK2 signals through CDK5 R-HSA-9032845		Signal Transduction R-HSA-162582
346	R-HSA-8849468	PTK6 Regulates Proteins Involved in RNA Processing R-HSA-8849468		Signal Transduction R-HSA-162582
347	R-HSA-391906	Leukotriene receptors R-HSA-391906		Signal Transduction R-HSA-162582
348	R-HSA-9031525	NR1H2 & NR1H3 regulate gene expression to limit cholesterol uptake  R-HSA-9031525		Signal Transduction R-HSA-162582
349	R-HSA-444209	Free fatty acid receptors R-HSA-444209		Signal Transduction R-HSA-162582
350	R-HSA-380095	Tachykinin receptors bind tachykinins R-HSA-380095		Signal Transduction R-HSA-162582
351	R-HSA-8865999	MET activates PTPN11 R-HSA-8865999		Signal Transduction R-HSA-162582
352	R-HSA-9032759	NTRK2 activates RAC1 R-HSA-9032759		Signal Transduction R-HSA-162582
353	R-HSA-9632974	NR1H2 & NR1H3 regulate gene expression linked to gluconeogenesis  R-HSA-9632974		Signal Transduction R-HSA-162582
354	R-HSA-390648	Muscarinic acetylcholine receptors R-HSA-390648		Signal Transduction R-HSA-162582
355	R-HSA-8849473	PTK6 Expression R-HSA-8849473		Signal Transduction R-HSA-162582
356	R-HSA-187024	NGF-independant TRKA activation R-HSA-187024		Signal Transduction R-HSA-162582
357	R-HSA-9013425	RHOT1 GTPase cycle R-HSA-9013425		Signal Transduction R-HSA-162582
358	R-HSA-75157	FasL/ CD95L signaling R-HSA-75157		Signal Transduction R-HSA-162582
359	R-HSA-8875513	MET interacts with TNS proteins R-HSA-8875513		Signal Transduction R-HSA-162582
360	R-HSA-390651	Dopamine receptors R-HSA-390651		Signal Transduction R-HSA-162582
361	R-HSA-74713	IRS activation R-HSA-74713		Signal Transduction R-HSA-162582
362	R-HSA-1306955	GRB7 events in ERBB2 signaling R-HSA-1306955		Signal Transduction R-HSA-162582
363	R-HSA-8852405	Signaling by MST1 R-HSA-8852405		Signal Transduction R-HSA-162582
364	R-HSA-9031528	NR1H2 & NR1H3 regulate gene expression linked to triglyceride lipolysis in adipose R-HSA-9031528		Signal Transduction R-HSA-162582
365	R-HSA-187706	Signalling to p38 via RIT and RIN R-HSA-187706		Signal Transduction R-HSA-162582
366	R-HSA-426048	Arachidonate production from DAG R-HSA-426048		Hemostasis R-HSA-109582,Signal Transduction R-HSA-162582
367	R-HSA-5368598	Negative regulation of TCF-dependent signaling by DVL-interacting proteins R-HSA-5368598		Signal Transduction R-HSA-162582
368	R-HSA-2473224	Antagonism of Activin by Follistatin R-HSA-2473224		Signal Transduction R-HSA-162582
369	R-HSA-9026527	Activated NTRK2 signals through PLCG1 R-HSA-9026527		Signal Transduction R-HSA-162582
370	R-HSA-167060	NGF processing R-HSA-167060		Signal Transduction R-HSA-162582
371	R-HSA-8849474	PTK6 Activates STAT3 R-HSA-8849474		Signal Transduction R-HSA-162582
372	R-HSA-111957	Cam-PDE 1 activation R-HSA-111957		Signal Transduction R-HSA-162582
373	R-HSA-9851151	MDK and PTN in ALK signaling R-HSA-9851151		Signal Transduction R-HSA-162582
374	R-HSA-9036866	Expression and Processing of Neurotrophins R-HSA-9036866		Signal Transduction R-HSA-162582
375	R-HSA-194306	Neurophilin interactions with VEGF and VEGFR R-HSA-194306		Signal Transduction R-HSA-162582
376	R-HSA-390650	Histamine receptors R-HSA-390650		Signal Transduction R-HSA-162582
377	R-HSA-9652282	Drug-mediated inhibition of ERBB2 signaling R-HSA-9652282		Signal Transduction R-HSA-162582
378	R-HSA-1251932	PLCG1 events in ERBB2 signaling R-HSA-1251932		Signal Transduction R-HSA-162582
379	R-HSA-209563	Axonal growth stimulation R-HSA-209563		Signal Transduction R-HSA-162582
380	R-HSA-165158	Activation of AKT2 R-HSA-165158		Signal Transduction R-HSA-162582
381	R-HSA-417973	Adenosine P1 receptors R-HSA-417973		Signal Transduction R-HSA-162582
382	R-HSA-9034793	Activated NTRK3 signals through PLCG1 R-HSA-9034793		Signal Transduction R-HSA-162582
383	R-HSA-9603505	NTRK3 as a dependence receptor R-HSA-9603505		Signal Transduction R-HSA-162582
384	R-HSA-167021	PLC-gamma1 signalling R-HSA-167021		Signal Transduction R-HSA-162582
385	R-HSA-3296197	Hydroxycarboxylic acid-binding receptors R-HSA-3296197		Signal Transduction R-HSA-162582
386	R-HSA-165181	Inhibition of TSC complex formation by PKB R-HSA-165181		Signal Transduction R-HSA-162582
387	R-HSA-198745	Signalling to STAT3 R-HSA-198745		Signal Transduction R-HSA-162582
388	R-HSA-1307965	betaKlotho-mediated ligand binding R-HSA-1307965		Signal Transduction R-HSA-162582
389	R-HSA-8875791	MET activates STAT3 R-HSA-8875791		Signal Transduction R-HSA-162582
390	R-HSA-8849472	PTK6 Down-Regulation R-HSA-8849472		Signal Transduction R-HSA-162582
391	R-HSA-193681	Ceramide signalling R-HSA-193681		Signal Transduction R-HSA-162582
392	R-HSA-5627083	RHO GTPases regulate CFTR trafficking R-HSA-5627083		Signal Transduction R-HSA-162582
393	R-HSA-190374	FGFR1c and Klotho ligand binding and activation R-HSA-190374		Signal Transduction R-HSA-162582
394	R-HSA-198765	Signalling to ERK5 R-HSA-198765		Signal Transduction R-HSA-162582
395	R-HSA-165160	PDE3B signalling R-HSA-165160		Signal Transduction R-HSA-162582
396	R-HSA-205017	NFG and proNGF binds to p75NTR R-HSA-205017		Signal Transduction R-HSA-162582
397	R-HSA-9024909	BDNF activates NTRK2 (TRKB) signaling R-HSA-9024909		Signal Transduction R-HSA-162582
398	R-HSA-9034013	NTF3 activates NTRK3 signaling R-HSA-9034013		Signal Transduction R-HSA-162582
399	R-HSA-9026357	NTF4 activates NTRK2 (TRKB) signaling R-HSA-9026357		Signal Transduction R-HSA-162582
400	R-HSA-111995	phospho-PLA2 pathway R-HSA-111995		Signal Transduction R-HSA-162582
401	R-HSA-9734091	Drug-mediated inhibition of MET activation R-HSA-9734091		Signal Transduction R-HSA-162582
402	R-HSA-109703	PKB-mediated events R-HSA-109703		Signal Transduction R-HSA-162582
403	R-HSA-9025046	NTF3 activates NTRK2 (TRKB) signaling R-HSA-9025046		Signal Transduction R-HSA-162582
404	R-HSA-187042	TRKA activation by NGF R-HSA-187042		Signal Transduction R-HSA-162582
405	R-HSA-2262752	Cellular responses to stress R-HSA-2262752		Cellular responses to stimuli R-HSA-8953897
406	R-HSA-1280215	Cytokine Signaling in Immune system R-HSA-1280215		Immune System R-HSA-168256
407	R-HSA-449147	Signaling by Interleukins R-HSA-449147		Immune System R-HSA-168256
408	R-HSA-5663202	Diseases of signal transduction by growth factor receptors and second messengers R-HSA-5663202		Disease R-HSA-1643685
409	R-HSA-913531	Interferon Signaling R-HSA-913531		Immune System R-HSA-168256
410	R-HSA-9711123	Cellular response to chemical stress R-HSA-9711123		Cellular responses to stimuli R-HSA-8953897
411	R-HSA-2559583	Cellular Senescence R-HSA-2559583	Cellular responses to stimuli R-HSA-8953897	Cellular responses to stimuli R-HSA-8953897
412	R-HSA-2454202	Fc epsilon receptor (FCERI) signaling R-HSA-2454202		Immune System R-HSA-168256
413	R-HSA-168898	Toll-like Receptor Cascades R-HSA-168898		Immune System R-HSA-168256
414	R-HSA-983705	Signaling by the B Cell Receptor (BCR) R-HSA-983705		Immune System R-HSA-168256
415	R-HSA-9711097	Cellular response to starvation R-HSA-9711097		Cellular responses to stimuli R-HSA-8953897
416	R-HSA-446652	Interleukin-1 family signaling R-HSA-446652		Immune System R-HSA-168256
417	R-HSA-1169410	Antiviral mechanism by IFN-stimulated genes R-HSA-1169410	Cytokine Signaling in Immune system R-HSA-1280215	Immune System R-HSA-168256
418	R-HSA-166016	Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016		Immune System R-HSA-168256
419	R-HSA-2871837	FCERI mediated NF-kB activation R-HSA-2871837		Immune System R-HSA-168256
420	R-HSA-9662851	Anti-inflammatory response favouring Leishmania parasite infection R-HSA-9662851		Disease R-HSA-1643685
421	R-HSA-9705671	SARS-CoV-2 activates/modulates innate and adaptive immune responses R-HSA-9705671		Disease R-HSA-1643685
422	R-HSA-2559580	Oxidative Stress Induced Senescence R-HSA-2559580	Cellular responses to stimuli R-HSA-8953897	Cellular responses to stimuli R-HSA-8953897
423	R-HSA-9755511	KEAP1-NFE2L2 pathway R-HSA-9755511	Cellular responses to stimuli R-HSA-8953897	Cellular responses to stimuli R-HSA-8953897
424	R-HSA-202403	TCR signaling R-HSA-202403		Immune System R-HSA-168256
425	R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation R-HSA-2029482		Immune System R-HSA-168256
426	R-HSA-168179	Toll Like Receptor TLR1:TLR2 Cascade R-HSA-168179		Immune System R-HSA-168256
427	R-HSA-166658	Complement cascade R-HSA-166658		Immune System R-HSA-168256
428	R-HSA-181438	Toll Like Receptor 2 (TLR2) Cascade R-HSA-181438		Immune System R-HSA-168256
429	R-HSA-9020702	Interleukin-1 signaling R-HSA-9020702		Immune System R-HSA-168256
430	R-HSA-166058	MyD88:MAL(TIRAP) cascade initiated on plasma membrane R-HSA-166058		Immune System R-HSA-168256
431	R-HSA-168188	Toll Like Receptor TLR6:TLR2 Cascade R-HSA-168188		Immune System R-HSA-168256
432	R-HSA-2559582	Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582	Cellular responses to stimuli R-HSA-8953897	Cellular responses to stimuli R-HSA-8953897
433	R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling R-HSA-6785807		Immune System R-HSA-168256
434	R-HSA-166166	MyD88-independent TLR4 cascade  R-HSA-166166		Immune System R-HSA-168256
435	R-HSA-937061	TRIF(TICAM1)-mediated TLR4 signaling  R-HSA-937061		Immune System R-HSA-168256
436	R-HSA-168138	Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138		Immune System R-HSA-168256
437	R-HSA-2219528	PI3K/AKT Signaling in Cancer R-HSA-2219528		Disease R-HSA-1643685
438	R-HSA-168164	Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164		Immune System R-HSA-168256
439	R-HSA-977606	Regulation of Complement cascade R-HSA-977606		Immune System R-HSA-168256
440	R-HSA-168181	Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181		Immune System R-HSA-168256
441	R-HSA-202424	Downstream TCR signaling R-HSA-202424		Immune System R-HSA-168256
442	R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency R-HSA-9633012		Cellular responses to stimuli R-HSA-8953897
443	R-HSA-975155	MyD88 dependent cascade initiated on endosome R-HSA-975155		Immune System R-HSA-168256
444	R-HSA-5668541	TNFR2 non-canonical NF-kB pathway R-HSA-5668541	Cytokine Signaling in Immune system R-HSA-1280215	Immune System R-HSA-168256
445	R-HSA-3371556	Cellular response to heat stress R-HSA-3371556		Cellular responses to stimuli R-HSA-8953897
446	R-HSA-975138	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation R-HSA-975138		Immune System R-HSA-168256
447	R-HSA-5607764	CLEC7A (Dectin-1) signaling R-HSA-5607764		Immune System R-HSA-168256
448	R-HSA-877300	Interferon gamma signaling R-HSA-877300		Immune System R-HSA-168256
449	R-HSA-9759194	Nuclear events mediated by NFE2L2 R-HSA-9759194		Cellular responses to stimuli R-HSA-8953897
450	R-HSA-168142	Toll Like Receptor 10 (TLR10) Cascade R-HSA-168142		Immune System R-HSA-168256
451	R-HSA-168176	Toll Like Receptor 5 (TLR5) Cascade R-HSA-168176		Immune System R-HSA-168256
452	R-HSA-975871	MyD88 cascade initiated on plasma membrane R-HSA-975871		Immune System R-HSA-168256
453	R-HSA-9664323	FCGR3A-mediated IL10 synthesis R-HSA-9664323	Anti-inflammatory response favouring Leishmania parasite infection R-HSA-9662851	Disease R-HSA-1643685
454	R-HSA-9725370	Signaling by ALK fusions and activated point mutants R-HSA-9725370		Disease R-HSA-1643685
455	R-HSA-381119	Unfolded Protein Response (UPR) R-HSA-381119		Cellular responses to stimuli R-HSA-8953897
456	R-HSA-9700206	Signaling by ALK in cancer R-HSA-9700206		Disease R-HSA-1643685
457	R-HSA-2871796	FCERI mediated MAPK activation R-HSA-2871796		Immune System R-HSA-168256
458	R-HSA-983695	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers R-HSA-983695		Immune System R-HSA-168256
459	R-HSA-2871809	FCERI mediated Ca+2 mobilization R-HSA-2871809	Fc epsilon receptor (FCERI) signaling R-HSA-2454202	Immune System R-HSA-168256
460	R-HSA-6802957	Oncogenic MAPK signaling R-HSA-6802957		Disease R-HSA-1643685
461	R-HSA-3371453	Regulation of HSF1-mediated heat shock response R-HSA-3371453		Cellular responses to stimuli R-HSA-8953897
462	R-HSA-1168372	Downstream signaling events of B Cell Receptor (BCR) R-HSA-1168372		Immune System R-HSA-168256
463	R-HSA-166663	Initial triggering of complement R-HSA-166663	Complement cascade R-HSA-166658	Immune System R-HSA-168256
464	R-HSA-2559586	DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586	Cellular responses to stimuli R-HSA-8953897	Cellular responses to stimuli R-HSA-8953897
465	R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer R-HSA-2219530		Disease R-HSA-1643685
466	R-HSA-909733	Interferon alpha/beta signaling R-HSA-909733		Immune System R-HSA-168256
467	R-HSA-9833482	PKR-mediated signaling R-HSA-9833482		Immune System R-HSA-168256
468	R-HSA-1234174	Cellular response to hypoxia R-HSA-1234174		Cellular responses to stimuli R-HSA-8953897
469	R-HSA-1169408	ISG15 antiviral mechanism R-HSA-1169408	Cytokine Signaling in Immune system R-HSA-1280215	Immune System R-HSA-168256
470	R-HSA-2730905	Role of LAT2/NTAL/LAB on calcium mobilization R-HSA-2730905	Fc epsilon receptor (FCERI) signaling R-HSA-2454202	Immune System R-HSA-168256
471	R-HSA-166786	Creation of C4 and C2 activators R-HSA-166786	Complement cascade R-HSA-166658	Immune System R-HSA-168256
472	R-HSA-448424	Interleukin-17 signaling R-HSA-448424		Immune System R-HSA-168256
473	R-HSA-2029481	FCGR activation R-HSA-2029481		Immune System R-HSA-168256
474	R-HSA-1169091	Activation of NF-kappaB in B cells R-HSA-1169091		Immune System R-HSA-168256
475	R-HSA-1234176	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha R-HSA-1234176	Cellular responses to stimuli R-HSA-8953897	Cellular responses to stimuli R-HSA-8953897
476	R-HSA-6802952	Signaling by BRAF and RAF1 fusions R-HSA-6802952		Disease R-HSA-1643685
477	R-HSA-9707564	Cytoprotection by HMOX1 R-HSA-9707564	Cellular responses to stimuli R-HSA-8953897	Cellular responses to stimuli R-HSA-8953897
478	R-HSA-173623	Classical antibody-mediated complement activation R-HSA-173623		Immune System R-HSA-168256
479	R-HSA-1226099	Signaling by FGFR in disease R-HSA-1226099		Disease R-HSA-1643685
480	R-HSA-450294	MAP kinase activation R-HSA-450294		Immune System R-HSA-168256
481	R-HSA-5607761	Dectin-1 mediated noncanonical NF-kB signaling R-HSA-5607761		Immune System R-HSA-168256
482	R-HSA-5690714	CD22 mediated BCR regulation R-HSA-5690714		Immune System R-HSA-168256
483	R-HSA-5387390	Hh mutants abrogate ligand secretion R-HSA-5387390	Diseases of signal transduction by growth factor receptors and second messengers R-HSA-5663202	Disease R-HSA-1643685
484	R-HSA-5676590	NIK-->noncanonical NF-kB signaling R-HSA-5676590		Immune System R-HSA-168256
485	R-HSA-2644603	Signaling by NOTCH1 in Cancer R-HSA-2644603		Disease R-HSA-1643685
486	R-HSA-2644602	Signaling by NOTCH1 PEST Domain Mutants in Cancer R-HSA-2644602		Disease R-HSA-1643685
487	R-HSA-2644606	Constitutive Signaling by NOTCH1 PEST Domain Mutants R-HSA-2644606		Disease R-HSA-1643685
488	R-HSA-2894862	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants R-HSA-2894862		Disease R-HSA-1643685
489	R-HSA-2894858	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer R-HSA-2894858		Disease R-HSA-1643685
490	R-HSA-447115	Interleukin-12 family signaling R-HSA-447115		Immune System R-HSA-168256
491	R-HSA-3371497	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand R-HSA-3371497	Cellular responses to stimuli R-HSA-8953897	Cellular responses to stimuli R-HSA-8953897
492	R-HSA-5362768	Hh mutants are degraded by ERAD R-HSA-5362768	Diseases of signal transduction by growth factor receptors and second messengers R-HSA-5663202	Disease R-HSA-1643685
493	R-HSA-168643	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways R-HSA-168643		Immune System R-HSA-168256
494	R-HSA-109606	Intrinsic Pathway for Apoptosis R-HSA-109606		Programmed Cell Death R-HSA-5357801
495	R-HSA-9639288	Amino acids regulate mTORC1 R-HSA-9639288	Cellular responses to stimuli R-HSA-8953897	Cellular responses to stimuli R-HSA-8953897
496	R-HSA-169911	Regulation of Apoptosis R-HSA-169911		Programmed Cell Death R-HSA-5357801
497	R-HSA-9762114	GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2 R-HSA-9762114	Cellular responses to stimuli R-HSA-8953897	Cellular responses to stimuli R-HSA-8953897
498	R-HSA-381070	IRE1alpha activates chaperones R-HSA-381070		Cellular responses to stimuli R-HSA-8953897
499	R-HSA-211733	Regulation of activated PAK-2p34 by proteasome mediated degradation R-HSA-211733		Programmed Cell Death R-HSA-5357801
500	R-HSA-9707616	Heme signaling R-HSA-9707616		Cellular responses to stimuli R-HSA-8953897
501	R-HSA-381038	XBP1(S) activates chaperone genes R-HSA-381038		Cellular responses to stimuli R-HSA-8953897
502	R-HSA-512988	Interleukin-3, Interleukin-5 and GM-CSF signaling R-HSA-512988		Immune System R-HSA-168256
503	R-HSA-9020591	Interleukin-12 signaling R-HSA-9020591		Immune System R-HSA-168256
504	R-HSA-6802955	Paradoxical activation of RAF signaling by kinase inactive BRAF R-HSA-6802955		Disease R-HSA-1643685
505	R-HSA-9649948	Signaling downstream of RAS mutants R-HSA-9649948		Disease R-HSA-1643685
506	R-HSA-6802946	Signaling by moderate kinase activity BRAF mutants R-HSA-6802946		Disease R-HSA-1643685
507	R-HSA-6783783	Interleukin-10 signaling R-HSA-6783783		Immune System R-HSA-168256
508	R-HSA-6802949	Signaling by RAS mutants R-HSA-6802949		Disease R-HSA-1643685
509	R-HSA-445989	TAK1-dependent IKK and NF-kappa-B activation   R-HSA-445989		Immune System R-HSA-168256
510	R-HSA-451927	Interleukin-2 family signaling R-HSA-451927		Immune System R-HSA-168256
511	R-HSA-5655253	Signaling by FGFR2 in disease R-HSA-5655253		Disease R-HSA-1643685
512	R-HSA-9660821	ADORA2B mediated anti-inflammatory cytokines production R-HSA-9660821	Anti-inflammatory response favouring Leishmania parasite infection R-HSA-9662851	Disease R-HSA-1643685
513	R-HSA-9656223	Signaling by RAF1 mutants R-HSA-9656223		Disease R-HSA-1643685
514	R-HSA-9692916	SARS-CoV-1 activates/modulates innate immune responses R-HSA-9692916		Disease R-HSA-1643685
515	R-HSA-202433	Generation of second messenger molecules R-HSA-202433	TCR signaling R-HSA-202403	Immune System R-HSA-168256
516	R-HSA-3371571	HSF1-dependent transactivation R-HSA-3371571		Cellular responses to stimuli R-HSA-8953897
517	R-HSA-8950505	Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation R-HSA-8950505		Immune System R-HSA-168256
