external_gene_name	description	uniprotswissprot	uniprot_gn_symbol
CCT8	chaperonin containing TCP1 subunit 8 [Source:HGNC Symbol;Acc:HGNC:1623]		CCT8
IRX4	iroquois homeobox 4 [Source:HGNC Symbol;Acc:HGNC:6129]	P78413	IRX4
VPS37A	VPS37A subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:24928]	Q8NEZ2	VPS37A
VPS37A	VPS37A subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:24928]		VPS37A
IRX4	iroquois homeobox 4 [Source:HGNC Symbol;Acc:HGNC:6129]		IRX4
CTNNBL1	catenin beta like 1 [Source:HGNC Symbol;Acc:HGNC:15879]	Q8WYA6	CTNNBL1
CTNNBL1	catenin beta like 1 [Source:HGNC Symbol;Acc:HGNC:15879]		CTNNBL1
C8orf48	chromosome 8 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:26345]	Q96LL4	C8orf48
MED22	mediator complex subunit 22 [Source:HGNC Symbol;Acc:HGNC:11477]	Q15528	MED22
MED22	mediator complex subunit 22 [Source:HGNC Symbol;Acc:HGNC:11477]	Q15528	SURF5
MED22	mediator complex subunit 22 [Source:HGNC Symbol;Acc:HGNC:11477]		MED22
MED22	mediator complex subunit 22 [Source:HGNC Symbol;Acc:HGNC:11477]		SURF5
STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	P52823	STC1
STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	P52823	stc1
WFDC9	WAP four-disulfide core domain 9 [Source:HGNC Symbol;Acc:HGNC:20380]	Q8NEX5	WFDC9
DDR1	discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:2730]	Q08345	DDR1
TRIM35	tripartite motif containing 35 [Source:HGNC Symbol;Acc:HGNC:16285]	Q9UPQ4	TRIM35
WDR46	WD repeat domain 46 [Source:HGNC Symbol;Acc:HGNC:13923]	O15213	WDR46
WDR46	WD repeat domain 46 [Source:HGNC Symbol;Acc:HGNC:13923]	O15213	C6orf11
TRIM35	tripartite motif containing 35 [Source:HGNC Symbol;Acc:HGNC:16285]		TRIM35
WDR46	WD repeat domain 46 [Source:HGNC Symbol;Acc:HGNC:13923]		WDR46
WDR46	WD repeat domain 46 [Source:HGNC Symbol;Acc:HGNC:13923]		C6orf11
SOGA1	suppressor of glucose, autophagy associated 1 [Source:HGNC Symbol;Acc:HGNC:16111]	O94964	SOGA1
ME2	malic enzyme 2 [Source:HGNC Symbol;Acc:HGNC:6984]	P23368	ME2
SEMA5A	semaphorin 5A [Source:HGNC Symbol;Acc:HGNC:10736]	Q13591	SEMA5A
SOGA1	suppressor of glucose, autophagy associated 1 [Source:HGNC Symbol;Acc:HGNC:16111]		SOGA1
RPL7A	ribosomal protein L7a [Source:HGNC Symbol;Acc:HGNC:10364]	P62424	RPL7A
SEMA5A	semaphorin 5A [Source:HGNC Symbol;Acc:HGNC:10736]		SEMA5A
ME2	malic enzyme 2 [Source:HGNC Symbol;Acc:HGNC:6984]		ME2
MAK16	MAK16 homolog [Source:HGNC Symbol;Acc:HGNC:13703]	Q9BXY0	MAK16
PCNX1	pecanex 1 [Source:HGNC Symbol;Acc:HGNC:19740]	Q96RV3	PCNX1
PRR5-ARHGAP8	PRR5-ARHGAP8 readthrough [Source:HGNC Symbol;Acc:HGNC:34512]		PRR5-ARHGAP8
MAK16	MAK16 homolog [Source:HGNC Symbol;Acc:HGNC:13703]		MAK16
CCT8	chaperonin containing TCP1 subunit 8 [Source:HGNC Symbol;Acc:HGNC:1623]	P50990	CCT8
WFDC10A	WAP four-disulfide core domain 10A [Source:HGNC Symbol;Acc:HGNC:16139]	Q9H1F0	WFDC10A
PCNX1	pecanex 1 [Source:HGNC Symbol;Acc:HGNC:19740]		PCNX1
LPL	lipoprotein lipase [Source:HGNC Symbol;Acc:HGNC:6677]		LPL
GAREM1	GRB2 associated regulator of MAPK1 subtype 1 [Source:HGNC Symbol;Acc:HGNC:26136]		GAREM1
RPL7A	ribosomal protein L7a [Source:HGNC Symbol;Acc:HGNC:10364]		RPL7A
GPHB5	glycoprotein hormone subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:18055]	Q86YW7	GPB5
GPHB5	glycoprotein hormone subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:18055]	Q86YW7	GPHB5
GAREM1	GRB2 associated regulator of MAPK1 subtype 1 [Source:HGNC Symbol;Acc:HGNC:26136]	Q9H706	GAREM1
WNT7B	Wnt family member 7B [Source:HGNC Symbol;Acc:HGNC:12787]	P56706	WNT7B
WNT7B	Wnt family member 7B [Source:HGNC Symbol;Acc:HGNC:12787]		WNT7B
LPL	lipoprotein lipase [Source:HGNC Symbol;Acc:HGNC:6677]	P06858	LPL
NCAM2	neural cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:7657]	O15394	NCAM2
NCAM2	neural cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:7657]		NCAM2
ZBTB7C	zinc finger and BTB domain containing 7C [Source:HGNC Symbol;Acc:HGNC:31700]	A1YPR0	ZBTB7C
PTPRD	protein tyrosine phosphatase receptor type D [Source:HGNC Symbol;Acc:HGNC:9668]	P23468	PTPRD
SURF1	SURF1 cytochrome c oxidase assembly factor [Source:HGNC Symbol;Acc:HGNC:11474]	Q15526	SURF1
PPP1R16B	protein phosphatase 1 regulatory subunit 16B [Source:HGNC Symbol;Acc:HGNC:15850]	Q96T49	PPP1R16B
SURF1	SURF1 cytochrome c oxidase assembly factor [Source:HGNC Symbol;Acc:HGNC:11474]		SURF1
MNAT1	MNAT1 component of CDK activating kinase [Source:HGNC Symbol;Acc:HGNC:7181]	P51948	MNAT1
MNAT1	MNAT1 component of CDK activating kinase [Source:HGNC Symbol;Acc:HGNC:7181]		MNAT1
PTPRD	protein tyrosine phosphatase receptor type D [Source:HGNC Symbol;Acc:HGNC:9668]		PTPRD
CDSN	corneodesmosin [Source:HGNC Symbol;Acc:HGNC:1802]		CDSN
CCDC177	coiled-coil domain containing 177 [Source:HGNC Symbol;Acc:HGNC:23243]	Q9NQR7	CCDC177
KIAA1755	KIAA1755 [Source:HGNC Symbol;Acc:HGNC:29372]	Q5JYT7	KIAA1755
MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6863]	Q92918	MAP4K1
KIAA1755	KIAA1755 [Source:HGNC Symbol;Acc:HGNC:29372]		KIAA1755
SURF2	surfeit 2 [Source:HGNC Symbol;Acc:HGNC:11475]	Q15527	SURF2
C14orf28	chromosome 14 open reading frame 28 [Source:HGNC Symbol;Acc:HGNC:19834]	Q4W4Y0	C14orf28
C14orf28	chromosome 14 open reading frame 28 [Source:HGNC Symbol;Acc:HGNC:19834]		C14orf28
MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6863]		MAP4K1
SAMM50	SAMM50 sorting and assembly machinery component [Source:HGNC Symbol;Acc:HGNC:24276]	Q9Y512	SAMM50
HMBOX1	homeobox containing 1 [Source:HGNC Symbol;Acc:HGNC:26137]	Q6NT76	HMBOX1
ZBTB7C	zinc finger and BTB domain containing 7C [Source:HGNC Symbol;Acc:HGNC:31700]		ZBTB7C
HMBOX1	homeobox containing 1 [Source:HGNC Symbol;Acc:HGNC:26137]		HMBOX1
TTC38	tetratricopeptide repeat domain 38 [Source:HGNC Symbol;Acc:HGNC:26082]		TTC38
LTN1	listerin E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:13082]	O94822	LTN1
LTN1	listerin E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:13082]		LTN1
SURF4	surfeit 4 [Source:HGNC Symbol;Acc:HGNC:11476]	O15260	SURF4
NAT2	N-acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:7646]	P11245	NAT2
NAT2	N-acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:7646]		NAT2
SURF4	surfeit 4 [Source:HGNC Symbol;Acc:HGNC:11476]		SURF4
TTC38	tetratricopeptide repeat domain 38 [Source:HGNC Symbol;Acc:HGNC:26082]	Q5R3I4	TTC38
MAGI1	membrane associated guanylate kinase, WW and PDZ domain containing 1 [Source:HGNC Symbol;Acc:HGNC:946]	Q96QZ7	MAGI1
CLDN8	claudin 8 [Source:HGNC Symbol;Acc:HGNC:2050]	P56748	CLDN8
CLDN8	claudin 8 [Source:HGNC Symbol;Acc:HGNC:2050]	P56748	HEL-S-79
SOX7	SRY-box transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:18196]	Q9BT81	SOX7
BOD1L2	biorientation of chromosomes in cell division 1 like 2 [Source:HGNC Symbol;Acc:HGNC:28505]	Q8IYS8	BOD1L2
C21orf140	chromosome 21 open reading frame 140 [Source:HGNC Symbol;Acc:HGNC:39602]	B9A014	C21orf140
DCAF4	DDB1 and CUL4 associated factor 4 [Source:HGNC Symbol;Acc:HGNC:20229]	Q8WV16	DCAF4
MAGI1	membrane associated guanylate kinase, WW and PDZ domain containing 1 [Source:HGNC Symbol;Acc:HGNC:946]		MAGI1
DCAF4	DDB1 and CUL4 associated factor 4 [Source:HGNC Symbol;Acc:HGNC:20229]		DCAF4
SLC25A17	solute carrier family 25 member 17 [Source:HGNC Symbol;Acc:HGNC:10987]		SLC25A17
STKLD1	serine/threonine kinase like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28669]	Q8NE28	STKLD1
DHX35	DEAH-box helicase 35 [Source:HGNC Symbol;Acc:HGNC:15861]		DHX35
MYO10	myosin X [Source:HGNC Symbol;Acc:HGNC:7593]	Q9HD67	MYO10
MYO10	myosin X [Source:HGNC Symbol;Acc:HGNC:7593]		MYO10
VWA7	von Willebrand factor A domain containing 7 [Source:HGNC Symbol;Acc:HGNC:13939]		VWA7
DHX35	DEAH-box helicase 35 [Source:HGNC Symbol;Acc:HGNC:15861]	Q9H5Z1	DHX35
EIF3K	eukaryotic translation initiation factor 3 subunit K [Source:HGNC Symbol;Acc:HGNC:24656]		EIF3K
HUNK	hormonally up-regulated Neu-associated kinase [Source:HGNC Symbol;Acc:HGNC:13326]	P57058	HUNK
RIOK3	RIO kinase 3 [Source:HGNC Symbol;Acc:HGNC:11451]	O14730	RIOK3
HUNK	hormonally up-regulated Neu-associated kinase [Source:HGNC Symbol;Acc:HGNC:13326]		HUNK
RIOK3	RIO kinase 3 [Source:HGNC Symbol;Acc:HGNC:11451]		RIOK3
SLC25A17	solute carrier family 25 member 17 [Source:HGNC Symbol;Acc:HGNC:10987]	O43808	SLC25A17
	palmitoyl-protein thioesterase 2 (PPT2) and EGF-like-domain, multiple 8 (EGFL8) readthrough		
REXO4	REX4 homolog, 3'-5' exonuclease [Source:HGNC Symbol;Acc:HGNC:12820]	Q9GZR2	REXO4
C21orf91	chromosome 21 open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:16459]	Q9NYK6	EURL
C21orf91	chromosome 21 open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:16459]	Q9NYK6	C21orf91
EIF3K	eukaryotic translation initiation factor 3 subunit K [Source:HGNC Symbol;Acc:HGNC:24656]	Q9UBQ5	EIF3K
C21orf91	chromosome 21 open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:16459]		EURL
C21orf91	chromosome 21 open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:16459]		C21orf91
REXO4	REX4 homolog, 3'-5' exonuclease [Source:HGNC Symbol;Acc:HGNC:12820]		REXO4
MED10	mediator complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:28760]	Q9BTT4	MED10
FBXO15	F-box protein 15 [Source:HGNC Symbol;Acc:HGNC:13617]		FBXO15
FBXO15	F-box protein 15 [Source:HGNC Symbol;Acc:HGNC:13617]	Q8NCQ5	FBXO15
SLC25A26	solute carrier family 25 member 26 [Source:HGNC Symbol;Acc:HGNC:20661]	Q70HW3	SLC25A26
JKAMP	JNK1/MAPK8 associated membrane protein [Source:HGNC Symbol;Acc:HGNC:20184]	Q9P055	JKAMP
TAF11L4	TATA-box binding protein associated factor 11 like 4 [Source:HGNC Symbol;Acc:HGNC:53847]	A0A1W2PPE2	TAF11L4
TOX2	TOX high mobility group box family member 2 [Source:HGNC Symbol;Acc:HGNC:16095]	Q96NM4	TOX2
SLC25A26	solute carrier family 25 member 26 [Source:HGNC Symbol;Acc:HGNC:20661]		SLC25A26
JKAMP	JNK1/MAPK8 associated membrane protein [Source:HGNC Symbol;Acc:HGNC:20184]		JKAMP
TOX2	TOX high mobility group box family member 2 [Source:HGNC Symbol;Acc:HGNC:16095]		TOX2
NPC1	NPC intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7897]		NPC1
MORC3	MORC family CW-type zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:23572]	Q14149	MORC3
MORC3	MORC family CW-type zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:23572]		MORC3
RHOJ	ras homolog family member J [Source:HGNC Symbol;Acc:HGNC:688]		RHOJ
MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase [Source:HGNC Symbol;Acc:HGNC:7473]		MTRR
RHOJ	ras homolog family member J [Source:HGNC Symbol;Acc:HGNC:688]	Q9H4E5	RHOJ
SOCS4	suppressor of cytokine signaling 4 [Source:HGNC Symbol;Acc:HGNC:19392]	Q8WXH5	SOCS4
SOCS4	suppressor of cytokine signaling 4 [Source:HGNC Symbol;Acc:HGNC:19392]	Q8WXH5	DKFZp686J1568
NPC1	NPC intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7897]	O15118	NPC1
SLC18A1	solute carrier family 18 member A1 [Source:HGNC Symbol;Acc:HGNC:10934]	P54219	SLC18A1
TRIOBP	TRIO and F-actin binding protein [Source:HGNC Symbol;Acc:HGNC:17009]	Q9H2D6	TRIOBP
ACTN4	actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]	O43707	ACTN4
SLC25A52	solute carrier family 25 member 52 [Source:HGNC Symbol;Acc:HGNC:23324]	Q3SY17	SLC25A52
SLC25A52	solute carrier family 25 member 52 [Source:HGNC Symbol;Acc:HGNC:23324]		SLC25A52
ACTN4	actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]		ACTN4
HNRNPR	heterogeneous nuclear ribonucleoprotein R [Source:HGNC Symbol;Acc:HGNC:5047]		HNRNPR
TRIOBP	TRIO and F-actin binding protein [Source:HGNC Symbol;Acc:HGNC:17009]		TRIOBP
SLC18A1	solute carrier family 18 member A1 [Source:HGNC Symbol;Acc:HGNC:10934]		SLC18A1
LGALS7B	galectin 7B [Source:HGNC Symbol;Acc:HGNC:34447]	P47929	LGALS7
KCNH5	potassium voltage-gated channel subfamily H member 5 [Source:HGNC Symbol;Acc:HGNC:6254]	Q8NCM2	KCNH5
ZNF24	zinc finger protein 24 [Source:HGNC Symbol;Acc:HGNC:13032]	P17028	ZNF24
LGALS7	galectin 7 [Source:HGNC Symbol;Acc:HGNC:6568]	P47929	LGALS7
LGALS7	galectin 7 [Source:HGNC Symbol;Acc:HGNC:6568]		LGALS7
MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase [Source:HGNC Symbol;Acc:HGNC:7473]	Q9UBK8	MTRR
ZNF24	zinc finger protein 24 [Source:HGNC Symbol;Acc:HGNC:13032]		ZNF24
FUT10	fucosyltransferase 10 [Source:HGNC Symbol;Acc:HGNC:19234]	Q6P4F1	FUT10
LGALS4	galectin 4 [Source:HGNC Symbol;Acc:HGNC:6565]		LGALS4
SUSD6	sushi domain containing 6 [Source:HGNC Symbol;Acc:HGNC:19956]	Q92537	SUSD6
PINX1	PIN2 (TERF1) interacting telomerase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:30046]		
MPIG6B	megakaryocyte and platelet inhibitory receptor G6b [Source:HGNC Symbol;Acc:HGNC:13937]		MPIG6B
MPIG6B	megakaryocyte and platelet inhibitory receptor G6b [Source:HGNC Symbol;Acc:HGNC:13937]		C6orf25
SEC11C	SEC11 homolog C, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:23400]	Q9BY50	SEC11C
ZBTB9	zinc finger and BTB domain containing 9 [Source:HGNC Symbol;Acc:HGNC:28323]	Q96C00	ZBTB9
SEC11C	SEC11 homolog C, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:23400]		SEC11C
TTLL12	tubulin tyrosine ligase like 12 [Source:HGNC Symbol;Acc:HGNC:28974]	Q14166	TTLL12
EYA2	EYA transcriptional coactivator and phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3520]	O00167	EYA2
C5orf49	chromosome 5 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:27028]	A4QMS7	C5orf49
C5orf49	chromosome 5 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:27028]		C5orf49
TTLL12	tubulin tyrosine ligase like 12 [Source:HGNC Symbol;Acc:HGNC:28974]		TTLL12
LGALS4	galectin 4 [Source:HGNC Symbol;Acc:HGNC:6565]	P56470	LGALS4
HNRNPR	heterogeneous nuclear ribonucleoprotein R [Source:HGNC Symbol;Acc:HGNC:5047]	O43390	HNRNPR
EYA2	EYA transcriptional coactivator and phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3520]		EYA2
WFDC11	WAP four-disulfide core domain 11 [Source:HGNC Symbol;Acc:HGNC:20478]	Q8NEX6	WFDC11
PAXBP1	PAX3 and PAX7 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:13579]		PAXBP1
INO80D	INO80 complex subunit D [Source:HGNC Symbol;Acc:HGNC:25997]	Q53TQ3	INO80D
INO80D	INO80 complex subunit D [Source:HGNC Symbol;Acc:HGNC:25997]		INO80D
EGLN3	egl-9 family hypoxia inducible factor 3 [Source:HGNC Symbol;Acc:HGNC:14661]	Q9H6Z9	EGLN3
EGLN3	egl-9 family hypoxia inducible factor 3 [Source:HGNC Symbol;Acc:HGNC:14661]		EGLN3
CDH7	cadherin 7 [Source:HGNC Symbol;Acc:HGNC:1766]	Q9ULB5	CDH7
CDH7	cadherin 7 [Source:HGNC Symbol;Acc:HGNC:1766]		CDH7
ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	Q13011	ECH1
ZNF436	zinc finger protein 436 [Source:HGNC Symbol;Acc:HGNC:20814]	Q9C0F3	ZNF436
TPGS2	tubulin polyglutamylase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24561]		TPGS2
ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]		ECH1
UNC5D	unc-5 netrin receptor D [Source:HGNC Symbol;Acc:HGNC:18634]	Q6UXZ4	UNC5D
UNC5D	unc-5 netrin receptor D [Source:HGNC Symbol;Acc:HGNC:18634]		UNC5D
SPTSSA	serine palmitoyltransferase small subunit A [Source:HGNC Symbol;Acc:HGNC:20361]	Q969W0	SPTSSA
FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	P01100	FOS
FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]		FOS
PRR5	proline rich 5 [Source:HGNC Symbol;Acc:HGNC:31682]		PRR5
TCEA3	transcription elongation factor A3 [Source:HGNC Symbol;Acc:HGNC:11615]	O75764	TCEA3
TCEA3	transcription elongation factor A3 [Source:HGNC Symbol;Acc:HGNC:11615]		TCEA3
PRR5	proline rich 5 [Source:HGNC Symbol;Acc:HGNC:31682]	P85299	PRR5
PLEKHD1	pleckstrin homology and coiled-coil domain containing D1 [Source:HGNC Symbol;Acc:HGNC:20148]	A6NEE1	PLEKHD1
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13 [Source:HGNC Symbol;Acc:HGNC:1366]	Q76LX8	ADAMTS13
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13 [Source:HGNC Symbol;Acc:HGNC:1366]		ADAMTS13
ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:14987]	Q8TDY4	ASAP3
ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:14987]	Q8TDY4	DDEFL1
HNRNPL	heterogeneous nuclear ribonucleoprotein L [Source:HGNC Symbol;Acc:HGNC:5045]		HNRNPL
HNRNPL	heterogeneous nuclear ribonucleoprotein L [Source:HGNC Symbol;Acc:HGNC:5045]	P14866	HNRNPL
MSR1	macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:HGNC:7376]	P21757	MSR1
MSR1	macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:HGNC:7376]		MSR1
CACFD1	calcium channel flower domain containing 1 [Source:HGNC Symbol;Acc:HGNC:1365]	Q9UGQ2	CACFD1
ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:14987]		ASAP3
ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:14987]		DDEFL1
TPGS2	tubulin polyglutamylase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24561]	Q68CL5	TPGS2
NUP155	nucleoporin 155 [Source:HGNC Symbol;Acc:HGNC:8063]	O75694	NUP155
CACFD1	calcium channel flower domain containing 1 [Source:HGNC Symbol;Acc:HGNC:1365]		CACFD1
RINL	Ras and Rab interactor like [Source:HGNC Symbol;Acc:HGNC:24795]	Q6ZS11	RINL
RINL	Ras and Rab interactor like [Source:HGNC Symbol;Acc:HGNC:24795]		RINL
NUP155	nucleoporin 155 [Source:HGNC Symbol;Acc:HGNC:8063]		NUP155
FBXL7	F-box and leucine rich repeat protein 7 [Source:HGNC Symbol;Acc:HGNC:13604]	Q9UJT9	FBXL7
FBXL7	F-box and leucine rich repeat protein 7 [Source:HGNC Symbol;Acc:HGNC:13604]		FBXL7
MC4R	melanocortin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6932]	P32245	MC4R
E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	Q14209	E2F2
LTBP2	latent transforming growth factor beta binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6715]	Q14767	LTBP2
SLC2A6	solute carrier family 2 member 6 [Source:HGNC Symbol;Acc:HGNC:11011]	Q9UGQ3	SLC2A6
LTBP2	latent transforming growth factor beta binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6715]		LTBP2
ID3	inhibitor of DNA binding 3 [Source:HGNC Symbol;Acc:HGNC:5362]	Q02535	ID3
SLC2A6	solute carrier family 2 member 6 [Source:HGNC Symbol;Acc:HGNC:11011]		SLC2A6
ELMO2	engulfment and cell motility 2 [Source:HGNC Symbol;Acc:HGNC:17233]	Q96JJ3	ELMO2
ANKRD33B	ankyrin repeat domain 33B [Source:HGNC Symbol;Acc:HGNC:35240]		ANKRD33B
ELMO2	engulfment and cell motility 2 [Source:HGNC Symbol;Acc:HGNC:17233]		ELMO2
ANKRD33B	ankyrin repeat domain 33B [Source:HGNC Symbol;Acc:HGNC:35240]	A6NCL7	ANKRD33B
ISCA2	iron-sulfur cluster assembly 2 [Source:HGNC Symbol;Acc:HGNC:19857]	Q86U28	ISCA2
ISCA2	iron-sulfur cluster assembly 2 [Source:HGNC Symbol;Acc:HGNC:19857]		ISCA2
DPYSL2	dihydropyrimidinase like 2 [Source:HGNC Symbol;Acc:HGNC:3014]		DPYSL2
OR2J1	olfactory receptor family 2 subfamily J member 1 [Source:HGNC Symbol;Acc:HGNC:8259]	Q9GZK6	OR2J1
DPYSL2	dihydropyrimidinase like 2 [Source:HGNC Symbol;Acc:HGNC:3014]	Q16555	DPYSL2
JDP2	Jun dimerization protein 2 [Source:HGNC Symbol;Acc:HGNC:17546]	Q8WYK2	JDP2
JDP2	Jun dimerization protein 2 [Source:HGNC Symbol;Acc:HGNC:17546]		JDP2
TMX3	thioredoxin related transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:24718]	Q96JJ7	TMX3
DEFB1	defensin beta 1 [Source:HGNC Symbol;Acc:HGNC:2766]	P60022	DEFB1
TMX3	thioredoxin related transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:24718]		TMX3
SPEF2	sperm flagellar 2 [Source:HGNC Symbol;Acc:HGNC:26293]	Q9C093	SPEF2
NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]	P28331	NDUFS1
SLC25A37	solute carrier family 25 member 37 [Source:HGNC Symbol;Acc:HGNC:29786]	Q9NYZ2	SLC25A37
SLC25A37	solute carrier family 25 member 37 [Source:HGNC Symbol;Acc:HGNC:29786]		SLC25A37
C13orf46	chromosome 13 open reading frame 46 [Source:HGNC Symbol;Acc:HGNC:53786]	A0A1B0GUA9	C13orf46
TGM2	transglutaminase 2 [Source:HGNC Symbol;Acc:HGNC:11778]	P21980	TGM2
TGM2	transglutaminase 2 [Source:HGNC Symbol;Acc:HGNC:11778]	P21980	HEL-S-45
NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]		NDUFS1
TOLLIP	toll interacting protein [Source:HGNC Symbol;Acc:HGNC:16476]	Q9H0E2	TOLLIP
SPEF2	sperm flagellar 2 [Source:HGNC Symbol;Acc:HGNC:26293]		SPEF2
TGM2	transglutaminase 2 [Source:HGNC Symbol;Acc:HGNC:11778]		TGM2
TGM2	transglutaminase 2 [Source:HGNC Symbol;Acc:HGNC:11778]		HEL-S-45
ERI1	exoribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:23994]	Q8IV48	ERI1
ERI1	exoribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:23994]	Q8IV48	THEX1
TOLLIP	toll interacting protein [Source:HGNC Symbol;Acc:HGNC:16476]		TOLLIP
ERI1	exoribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:23994]		ERI1
ERI1	exoribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:23994]		THEX1
SIRT2	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]		SIRT2
RIPOR3	RIPOR family member 3 [Source:HGNC Symbol;Acc:HGNC:16168]		RIPOR3
SSU72P7	SSU72 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:43626]		SSU72P7
SSU72P3	SSU72 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:43622]		SSU72P3
SSU72P5	SSU72 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:43624]		SSU72P5
MBOAT4	membrane bound O-acyltransferase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:32311]	Q96T53	MBOAT4
RIPOR3	RIPOR family member 3 [Source:HGNC Symbol;Acc:HGNC:16168]	Q96MK2	RIPOR3
RASA3	RAS p21 protein activator 3 [Source:HGNC Symbol;Acc:HGNC:20331]	Q14644	RASA3
SPATA2	spermatogenesis associated 2 [Source:HGNC Symbol;Acc:HGNC:14681]	Q9UM82	SPATA2
DOCK5	dedicator of cytokinesis 5 [Source:HGNC Symbol;Acc:HGNC:23476]		DOCK5
RMC1	regulator of MON1-CCZ1 [Source:HGNC Symbol;Acc:HGNC:24326]	Q96DM3	RMC1
FAM83D	family with sequence similarity 83 member D [Source:HGNC Symbol;Acc:HGNC:16122]		FAM83D
FAM83D	family with sequence similarity 83 member D [Source:HGNC Symbol;Acc:HGNC:16122]	Q9H4H8	FAM83D
DOCK5	dedicator of cytokinesis 5 [Source:HGNC Symbol;Acc:HGNC:23476]	Q9H7D0	DOCK5
